run,Z,A,kind,level,line,delta_e_eV,w12_per_s
Li8_grid2,3,8,grid,2,P11-Q13,183.991154,12240410240.294407
Li8_grid2,3,8,grid,2,Q12-R14,119.417571,6087203984.877436
Li8_grid2,3,8,grid,2,Q13-R14,119.416741,67634508.137372
Li8_grid2,3,8,grid,2,Q13-R15,119.417158,6154807350.209710
Li9_rminus,3,9,rminus,0,K1-L2,18794.259728,10397277636469.269531
Li9_rminus,3,9,rminus,0,K1-L3,18795.011035,10396368146039.609375
Li9_rminus,3,9,rminus,0,L2-M4,3475.679919,892357088086.590454
Li9_rminus,3,9,rminus,0,L3-M4,3474.928611,178427494066.204956
Li9_rminus,3,9,rminus,0,L3-M5,3475.002628,1070601108433.781128
Li9_rminus,3,9,rminus,0,M4-N6,1215.688685,212999988200.117462
Li9_rminus,3,9,rminus,0,M5-N6,1215.614668,15212890692.297291
Li9_rminus,3,9,rminus,0,M5-N7,1215.630273,228200423157.808319
Li9_rminus,3,9,rminus,0,N6-O8,562.630639,67891849462.741707
Li9_rminus,3,9,rminus,0,N7-O8,562.615035,2514387945.911938
Li9_rminus,3,9,rminus,0,N7-O9,562.619828,70404500532.687424
Li9_rminus,3,9,rminus,0,O8-P10,305.620132,26616428240.230843
Li9_rminus,3,9,rminus,0,O9-P10,305.615339,604899808.627940
Li9_rminus,3,9,rminus,0,O9-P11,305.617188,27220973492.549610
Li9_rminus,3,9,rminus,0,P10-Q12,184.278008,12073775886.166449
Li9_rminus,3,9,rminus,0,P11-Q12,184.276159,185746329.982959
Li9_rminus,3,9,rminus,0,P11-Q13,184.276991,12259425698.320646
Li9_rminus,3,9,rminus,0,Q12-R14,119.603092,6096661295.933783
Li9_rminus,3,9,rminus,0,Q13-R14,119.602260,67739576.776028
Li9_rminus,3,9,rminus,0,Q13-R15,119.602678,6164369852.517778
Li9_grid0,3,9,grid,0,K1-L2,18793.384924,10396925780167.845703
Li9_grid0,3,9,grid,0,K1-L3,18794.136222,10396017462525.382812
Li9_grid0,3,9,grid,0,L2-M4,3475.680814,892357383170.669434
Li9_grid0,3,9,grid,0,L3-M4,3474.929516,178427552972.998383
Li9_grid0,3,9,grid,0,L3-M5,3475.003533,1070601461870.401978
Li9_grid0,3,9,grid,0,M4-N6,1215.688743,213000007532.519257
Li9_grid0,3,9,grid,0,M5-N6,1215.614726,15212890682.450748
Li9_grid0,3,9,grid,0,M5-N7,1215.630330,228200423009.793762
Li9_grid0,3,9,grid,0,N6-O8,562.630640,67891849446.458641
