Z,A,n,state,full_binding_eV,ideal_binding_eV
39,86,6,P10,-118875,-118822
39,86,6,P11,-118822,-118769
39,86,7,Q12,-87289.7,-87269.8
39,86,7,Q13,-87265.6,-87245.8
39,86,8,R14,-66810.7,-66803.1
39,86,8,R15,-66798.6,-66791.1
39,87,6,P10,-118877,-118824
39,87,6,P11,-118823,-118771
39,87,7,Q12,-87291,-87271.1
39,87,7,Q13,-87266.9,-87247.1
39,87,8,R14,-66811.7,-66804.1
39,87,8,R15,-66799.6,-66792.1
39,88,6,P10,-118879,-118826
39,88,6,P11,-118825,-118772
39,88,7,Q12,-87292.3,-87272.4
39,88,7,Q13,-87268.2,-87248.4
39,88,8,R14,-66812.7,-66805.1
39,88,8,R15,-66800.6,-66793.1
39,89,6,P10,-118881,-118828
39,89,6,P11,-118827,-118774
39,89,7,Q12,-87293.5,-87273.7
39,89,7,Q13,-87269.4,-87249.6
39,89,8,R14,-66813.6,-66806.1
39,89,8,R15,-66801.5,-66794
39,90,6,P10,-118882,-118829
39,90,6,P11,-118829,-118776
39,90,7,Q12,-87294.8,-87274.9
39,90,7,Q13,-87270.7,-87250.9
39,90,8,R14,-66814.6,-66807
39,90,8,R15,-66802.5,-66795
39,92,6,P10,-118886,-118833
39,92,6,P11,-118832,-118779
39,92,7,Q12,-87297.2,-87277.3
39,92,7,Q13,-87273.1,-87253.3
39,92,8,R14,-66816.4,-66808.9
39,92,8,R15,-66804.3,-66796.8
39,93,6,P10,-118887,-118834
39,93,6,P11,-118833,-118781
39,93,7,Q12,-87298.3,-87278.5
39,93,7,Q13,-87274.2,-87254.4
39,93,8,R14,-66817.3,-66809.8
39,93,8,R15,-66805.2,-66797.7
39,94,6,P10,-118889,-118836
39,94,6,P11,-118835,-118782
39,94,7,Q12,-87299.5,-87279.6
39,94,7,Q13,-87275.4,-87255.5
39,94,8,R14,-66818.2,-66810.6
39,94,8,R15,-66806.1,-66798.6
39,95,6,P10,-118890,-118837
39,95,6,P11,-118836,-118784
39,95,7,Q12,-87300.6,-87280.7
39,95,7,Q13,-87276.5,-87256.7
39,95,8,R14,-66819,-66811.5
39,95,8,R15,-66806.9,-66799.4
39,96,6,P10,-118892,-118839
39,96,6,P11,-118838,-118785
39,96,7,Q12,-87301.7,-87281.8
39,96,7,Q13,-87277.6,-87257.7
39,96,8,R14,-66819.9,-66812.3
39,96,8,R15,-66807.8,-66800.2
39,97,6,P10,-118893,-118840
39,97,6,P11,-118839,-118787
39,97,7,Q12,-87302.8,-87282.9
39,97,7,Q13,-87278.6,-87258.8
39,97,8,R14,-66820.7,-66813.1
39,97,8,R15,-66808.6,-66801.1
39,98,6,P10,-118895,-118842
39,98,6,P11,-118841,-118788
39,98,7,Q12,-87303.8,-87283.9
39,98,7,Q13,-87279.7,-87259.9
39,98,8,R14,-66821.5,-66813.9
39,98,8,R15,-66809.4,-66801.9
39,99,6,P10,-118896,-118843
39,99,6,P11,-118842,-118790
39,99,7,Q12,-87304.8,-87285
39,99,7,Q13,-87280.7,-87260.9
39,99,8,R14,-66822.3,-66814.7
39,99,8,R15,-66810.2,-66802.6
39,100,6,P10,-118897,-118844
39,100,6,P11,-118844,-118791
39,100,7,Q12,-87305.8,-87286
39,100,7,Q13,-87281.7,-87261.9
39,100,8,R14,-66823,-66815.5
39,100,8,R15,-66810.9,-66803.4
39,101,6,P10,-118899,-118846
39,101,6,P11,-118845,-118792
39,101,7,Q12,-87306.8,-87286.9
39,101,7,Q13,-87282.7,-87262.9
39,101,8,R14,-66823.8,-66816.2
39,101,8,R15,-66811.7,-66804.2
39,102,6,P10,-118900,-118847
39,102,6,P11,-118846,-118794
39,102,7,Q12,-87307.8,-87287.9
39,102,7,Q13,-87283.7,-87263.8
39,102,8,R14,-66824.5,-66817
39,102,8,R15,-66812.4,-66804.9
40,87,6,P10,-125061,-125003
40,87,6,P11,-125001,-124943
40,87,7,Q12,-91829.4,-91807.3
40,87,7,Q13,-91802.7,-91780.6
40,87,8,R14,-70284.2,-70275.7
40,87,8,R15,-70270.8,-70262.4
40,88,6,P10,-125063,-125004
40,88,6,P11,-125003,-124945
40,88,7,Q12,-91830.7,-91808.6
40,88,7,Q13,-91804,-91782
40,88,8,R14,-70285.3,-70276.8
40,88,8,R15,-70271.9,-70263.4
40,89,6,P10,-125064,-125006
40,89,6,P11,-125005,-124947
40,89,7,Q12,-91832.1,-91809.9
40,89,7,Q13,-91805.4,-91783.3
40,89,8,R14,-70286.3,-70277.8
40,89,8,R15,-70272.9,-70264.4
40,90,6,P10,-125066,-125008
40,90,6,P11,-125007,-124949
40,90,7,Q12,-91833.4,-91811.2
40,90,7,Q13,-91806.7,-91784.6
40,90,8,R14,-70287.3,-70278.8
40,90,8,R15,-70273.9,-70265.4
40,91,6,P10,-125068,-125010
40,91,6,P11,-125009,-124950
40,91,7,Q12,-91834.6,-91812.5
40,91,7,Q13,-91807.9,-91785.9
40,91,8,R14,-70288.3,-70279.8
40,91,8,R15,-70274.9,-70266.4
40,92,6,P10,-125070,-125011
40,92,6,P11,-125010,-124952
40,92,7,Q12,-91835.9,-91813.7
40,92,7,Q13,-91809.2,-91787.1
40,92,8,R14,-70289.2,-70280.7
40,92,8,R15,-70275.8,-70267.3
40,94,6,P10,-125073,-125015
40,94,6,P11,-125014,-124955
40,94,7,Q12,-91838.3,-91816.2
40,94,7,Q13,-91811.6,-91789.5
40,94,8,R14,-70291.1,-70282.6
40,94,8,R15,-70277.7,-70269.2
40,96,6,P10,-125076,-125018
40,96,6,P11,-125017,-124959
40,96,7,Q12,-91840.6,-91818.5
40,96,7,Q13,-91813.9,-91791.8
40,96,8,R14,-70292.8,-70284.3
40,96,8,R15,-70279.4,-70271
40,97,6,P10,-125078,-125019
40,97,6,P11,-125018,-124960
40,97,7,Q12,-91841.7,-91819.6
40,97,7,Q13,-91815.1,-91793
40,97,8,R14,-70293.7,-70285.2
40,97,8,R15,-70280.3,-70271.8
40,98,6,P10,-125079,-125021
40,98,6,P11,-125020,-124962
40,98,7,Q12,-91842.8,-91820.7
40,98,7,Q13,-91816.2,-91794.1
40,98,8,R14,-70294.5,-70286
40,98,8,R15,-70281.1,-70272.7
40,99,6,P10,-125081,-125022
40,99,6,P11,-125021,-124963
40,99,7,Q12,-91843.9,-91821.8
40,99,7,Q13,-91817.2,-91795.1
40,99,8,R14,-70295.4,-70286.9
40,99,8,R15,-70282,-70273.5
40,100,6,P10,-125082,-125024
40,100,6,P11,-125023,-124964
40,100,7,Q12,-91845,-91822.8
40,100,7,Q13,-91818.3,-91796.2
40,100,8,R14,-70296.2,-70287.7
40,100,8,R15,-70282.8,-70274.3
40,101,6,P10,-125084,-125025
40,101,6,P11,-125024,-124966
40,101,7,Q12,-91846,-91823.9
40,101,7,Q13,-91819.3,-91797.2
40,101,8,R14,-70297,-70288.5
40,101,8,R15,-70283.6,-70275.1
40,102,6,P10,-125085,-125027
40,102,6,P11,-125025,-124967
40,102,7,Q12,-91847,-91824.9
40,102,7,Q13,-91820.4,-91798.2
40,102,8,R14,-70297.7,-70289.2
40,102,8,R15,-70284.3,-70275.9
41,90,6,P10,-131408,-131344
41,90,6,P11,-131342,-131278
41,90,7,Q12,-96487.3,-96462.7
41,90,7,Q13,-96457.8,-96433.3
41,90,8,R14,-73848.1,-73838.6
41,90,8,R15,-73833.4,-73823.9
41,91,6,P10,-131409,-131345
41,91,6,P11,-131344,-131280
41,91,7,Q12,-96488.6,-96464.1
41,91,7,Q13,-96459.2,-96434.7
41,91,8,R14,-73849.2,-73839.6
41,91,8,R15,-73834.4,-73824.9
41,92,6,P10,-131411,-131347
41,92,6,P11,-131346,-131282
41,92,7,Q12,-96489.9,-96465.4
41,92,7,Q13,-96460.5,-96436
41,92,8,R14,-73850.2,-73840.6
41,92,8,R15,-73835.4,-73825.9
41,93,6,P10,-131413,-131349
41,93,6,P11,-131347,-131283
41,93,7,Q12,-96491.2,-96466.6
41,93,7,Q13,-96461.8,-96437.2
41,93,8,R14,-73851.1,-73841.6
41,93,8,R15,-73836.4,-73826.9
41,99,6,P10,-131423,-131359
41,99,6,P11,-131357,-131293
41,99,7,Q12,-96498.4,-96473.8
41,99,7,Q13,-96468.9,-96444.4
41,99,8,R14,-73856.6,-73847.1
41,99,8,R15,-73841.8,-73832.3
41,101,6,P10,-131426,-131362
41,101,6,P11,-131360,-131296
41,101,7,Q12,-96500.6,-96476
41,101,7,Q13,-96471.1,-96446.6
41,101,8,R14,-73858.3,-73848.8
41,101,8,R15,-73843.5,-73834
41,103,6,P10,-131429,-131364
41,103,6,P11,-131363,-131299
41,103,7,Q12,-96502.7,-96478.1
41,103,7,Q13,-96473.2,-96448.7
41,103,8,R14,-73859.9,-73850.4
41,103,8,R15,-73845.1,-73835.6
42,90,6,P10,-137907,-137836
42,90,6,P11,-137834,-137764
42,90,7,Q12,-101257,-101229
42,90,7,Q13,-101224,-101197
42,90,8,R14,-77497.2,-77486.5
42,90,8,R15,-77480.9,-77470.3
42,91,6,P10,-137908,-137838
42,91,6,P11,-137836,-137766
42,91,7,Q12,-101258,-101231
42,91,7,Q13,-101226,-101198
42,91,8,R14,-77498.3,-77487.6
42,91,8,R15,-77482,-77471.3
42,92,6,P10,-137910,-137840
42,92,6,P11,-137838,-137768
42,92,7,Q12,-101259,-101232
42,92,7,Q13,-101227,-101200
42,92,8,R14,-77499.3,-77488.7
42,92,8,R15,-77483,-77472.4
42,94,6,P10,-137914,-137844
42,94,6,P11,-137842,-137772
42,94,7,Q12,-101262,-101235
42,94,7,Q13,-101230,-101202
42,94,8,R14,-77501.3,-77490.7
42,94,8,R15,-77485.1,-77474.4
42,95,6,P10,-137916,-137845
42,95,6,P11,-137843,-137773
42,95,7,Q12,-101263,-101236
42,95,7,Q13,-101231,-101204
42,95,8,R14,-77502.3,-77491.7
42,95,8,R15,-77486,-77475.4
42,96,6,P10,-137917,-137847
42,96,6,P11,-137845,-137775
42,96,7,Q12,-101265,-101237
42,96,7,Q13,-101232,-101205
42,96,8,R14,-77503.3,-77492.6
42,96,8,R15,-77487,-77476.4
42,97,6,P10,-137919,-137849
42,97,6,P11,-137847,-137777
42,97,7,Q12,-101266,-101239
42,97,7,Q13,-101233,-101206
42,97,8,R14,-77504.2,-77493.6
42,97,8,R15,-77488,-77477.3
42,98,6,P10,-137921,-137851
42,98,6,P11,-137849,-137778
42,98,7,Q12,-101267,-101240
42,98,7,Q13,-101235,-101207
42,98,8,R14,-77505.2,-77494.5
42,98,8,R15,-77488.9,-77478.2
42,100,6,P10,-137924,-137854
42,100,6,P11,-137852,-137782
42,100,7,Q12,-101269,-101242
42,100,7,Q13,-101237,-101210
42,100,8,R14,-77507,-77496.3
42,100,8,R15,-77490.7,-77480
42,102,6,P10,-137927,-137857
42,102,6,P11,-137855,-137785
42,102,7,Q12,-101272,-101244
42,102,7,Q13,-101239,-101212
42,102,8,R14,-77508.7,-77498
42,102,8,R15,-77492.4,-77481.8
42,103,6,P10,-137929,-137858
42,103,6,P11,-137856,-137786
42,103,7,Q12,-101273,-101246
42,103,7,Q13,-101240,-101213
42,103,8,R14,-77509.5,-77498.9
42,103,8,R15,-77493.3,-77482.6
42,104,6,P10,-137930,-137860
42,104,6,P11,-137858,-137788
42,104,7,Q12,-101274,-101247
42,104,7,Q13,-101241,-101214
42,104,8,R14,-77510.4,-77499.7
42,104,8,R15,-77494.1,-77483.4
42,105,6,P10,-137932,-137861
42,105,6,P11,-137859,-137789
42,105,7,Q12,-101275,-101248
42,105,7,Q13,-101242,-101215
42,105,8,R14,-77511.2,-77500.5
42,105,8,R15,-77494.9,-77484.2
42,106,6,P10,-137933,-137863
42,106,6,P11,-137861,-137791
42,106,7,Q12,-101276,-101249
42,106,7,Q13,-101244,-101216
42,106,8,R14,-77512,-77501.3
42,106,8,R15,-77495.7,-77485
42,108,6,P10,-137936,-137865
42,108,6,P11,-137863,-137793
42,108,7,Q12,-101278,-101251
42,108,7,Q13,-101246,-101218
42,108,8,R14,-77513.5,-77502.8
42,108,8,R15,-77497.2,-77486.6
44,96,6,P10,-151389,-151305
44,96,6,P11,-151302,-151219
44,96,7,Q12,-111150,-111117
44,96,7,Q13,-111111,-111078
44,96,8,R14,-85066.6,-85053.4
44,96,8,R15,-85047,-85033.8
44,98,6,P10,-151393,-151309
44,98,6,P11,-151306,-151222
44,98,7,Q12,-111153,-111120
44,98,7,Q13,-111114,-111081
44,98,8,R14,-85068.6,-85055.4
44,98,8,R15,-85049,-85035.9
44,99,6,P10,-151395,-151311
44,99,6,P11,-151308,-151224
44,99,7,Q12,-111154,-111121
44,99,7,Q13,-111115,-111082
44,99,8,R14,-85069.6,-85056.4
44,99,8,R15,-85050,-85036.9
44,100,6,P10,-151396,-151313
44,100,6,P11,-151309,-151226
44,100,7,Q12,-111156,-111123
44,100,7,Q13,-111116,-111084
44,100,8,R14,-85070.6,-85057.4
44,100,8,R15,-85051,-85037.8
44,101,6,P10,-151398,-151314
44,101,6,P11,-151311,-151227
44,101,7,Q12,-111157,-111124
44,101,7,Q13,-111118,-111085
44,101,8,R14,-85071.6,-85058.4
44,101,8,R15,-85051.9,-85038.8
44,102,6,P10,-151400,-151316
44,102,6,P11,-151313,-151229
44,102,7,Q12,-111158,-111125
44,102,7,Q13,-111119,-111086
44,102,8,R14,-85072.5,-85059.3
44,102,8,R15,-85052.9,-85039.7
44,104,6,P10,-151403,-151319
44,104,6,P11,-151316,-151232
44,104,7,Q12,-111160,-111127
44,104,7,Q13,-111121,-111088
44,104,8,R14,-85074.3,-85061.1
44,104,8,R15,-85054.7,-85041.5
45,103,6,P10,-158374,-158283
45,103,6,P11,-158279,-158188
45,103,7,Q12,-116276,-116240
45,103,7,Q13,-116233,-116197
45,103,8,R14,-88987.7,-88973.1
45,103,8,R15,-88966.3,-88951.7
46,102,6,P10,-165503,-165404
46,102,6,P11,-165399,-165301
46,102,7,Q12,-121506,-121467
46,102,7,Q13,-121460,-121420
46,102,8,R14,-92989.3,-92973.2
46,102,8,R15,-92965.9,-92949.8
46,104,6,P10,-165507,-165408
46,104,6,P11,-165403,-165304
46,104,7,Q12,-121509,-121469
46,104,7,Q13,-121462,-121423
46,104,8,R14,-92991.3,-92975.2
46,104,8,R15,-92967.9,-92951.8
46,105,6,P10,-165509,-165410
46,105,6,P11,-165404,-165306
46,105,7,Q12,-121510,-121471
46,105,7,Q13,-121464,-121424
46,105,8,R14,-92992.3,-92976.2
46,105,8,R15,-92968.8,-92952.7
46,106,6,P10,-165510,-165411
46,106,6,P11,-165406,-165308
46,106,7,Q12,-121512,-121472
46,106,7,Q13,-121465,-121425
46,106,8,R14,-92993.2,-92977.1
46,106,8,R15,-92969.8,-92953.7
46,108,6,P10,-165514,-165415
46,108,6,P11,-165409,-165311
46,108,7,Q12,-121514,-121474
46,108,7,Q13,-121467,-121428
46,108,8,R14,-92995.1,-92978.9
46,108,8,R15,-92971.6,-92955.5
46,110,6,P10,-165517,-165418
46,110,6,P11,-165413,-165314
46,110,7,Q12,-121516,-121477
46,110,7,Q13,-121470,-121430
46,110,8,R14,-92996.9,-92980.7
46,110,8,R15,-92973.4,-92957.3
47,101,6,P10,-172790,-172683
47,101,6,P11,-172676,-172570
47,101,7,Q12,-126853,-126809
47,101,7,Q13,-126802,-126759
47,101,8,R14,-97079.1,-97061.3
47,101,8,R15,-97053.5,-97035.8
47,103,6,P10,-172794,-172687
47,103,6,P11,-172680,-172574
47,103,7,Q12,-126855,-126812
47,103,7,Q13,-126804,-126761
47,103,8,R14,-97081.2,-97063.5
47,103,8,R15,-97055.6,-97037.9
47,104,6,P10,-172796,-172689
47,104,6,P11,-172682,-172576
47,104,7,Q12,-126857,-126813
47,104,7,Q13,-126806,-126763
47,104,8,R14,-97082.2,-97064.5
47,104,8,R15,-97056.7,-97039
47,105,6,P10,-172797,-172690
47,105,6,P11,-172684,-172577
47,105,7,Q12,-126858,-126815
47,105,7,Q13,-126807,-126764
47,105,8,R14,-97083.2,-97065.5
47,105,8,R15,-97057.7,-97040
47,107,6,P10,-172801,-172694
47,107,6,P11,-172687,-172581
47,107,7,Q12,-126861,-126817
47,107,7,Q13,-126810,-126767
47,107,8,R14,-97085.2,-97067.5
47,107,8,R15,-97059.6,-97041.9
47,109,6,P10,-172804,-172697
47,109,6,P11,-172691,-172584
47,109,7,Q12,-126863,-126820
47,109,7,Q13,-126812,-126769
47,109,8,R14,-97087.1,-97069.3
47,109,8,R15,-97061.5,-97043.8
48,102,6,P10,-180238,-180123
48,102,6,P11,-180115,-180000
48,102,7,Q12,-132317,-132270
48,102,7,Q13,-132262,-132215
48,102,8,R14,-101259,-101240
48,102,8,R15,-101231,-101212
48,103,6,P10,-180240,-180125
48,103,6,P11,-180117,-180002
48,103,7,Q12,-132319,-132271
48,103,7,Q13,-132263,-132216
48,103,8,R14,-101260,-101241
48,103,8,R15,-101233,-101213
48,104,6,P10,-180242,-180127
48,104,6,P11,-180119,-180004
48,104,7,Q12,-132320,-132273
48,104,7,Q13,-132265,-132218
48,104,8,R14,-101261,-101242
48,104,8,R15,-101234,-101214
48,105,6,P10,-180244,-180129
48,105,6,P11,-180121,-180005
48,105,7,Q12,-132321,-132274
48,105,7,Q13,-132266,-132219
48,105,8,R14,-101263,-101243
48,105,8,R15,-101235,-101215
48,106,6,P10,-180246,-180130
48,106,6,P11,-180122,-180007
48,106,7,Q12,-132323,-132276
48,106,7,Q13,-132267,-132220
48,106,8,R14,-101264,-101244
48,106,8,R15,-101236,-101216
48,107,6,P10,-180248,-180132
48,107,6,P11,-180124,-180009
48,107,7,Q12,-132324,-132277
48,107,7,Q13,-132269,-132222
48,107,8,R14,-101265,-101245
48,107,8,R15,-101237,-101217
48,108,6,P10,-180250,-180134
48,108,6,P11,-180126,-180011
48,108,7,Q12,-132325,-132278
48,108,7,Q13,-132270,-132223
48,108,8,R14,-101266,-101246
48,108,8,R15,-101238,-101218
48,109,6,P10,-180251,-180136
48,109,6,P11,-180128,-180013
48,109,7,Q12,-132327,-132279
48,109,7,Q13,-132271,-132224
48,109,8,R14,-101267,-101247
48,109,8,R15,-101239,-101219
48,110,6,P10,-180253,-180137
48,110,6,P11,-180129,-180014
48,110,7,Q12,-132328,-132281
48,110,7,Q13,-132272,-132225
48,110,8,R14,-101267,-101248
48,110,8,R15,-101240,-101220
48,111,6,P10,-180255,-180139
48,111,6,P11,-180131,-180016
48,111,7,Q12,-132329,-132282
48,111,7,Q13,-132274,-132227
48,111,8,R14,-101268,-101249
48,111,8,R15,-101241,-101221
48,112,6,P10,-180256,-180141
48,112,6,P11,-180133,-180018
48,112,7,Q12,-132330,-132283
48,112,7,Q13,-132275,-132228
48,112,8,R14,-101269,-101250
48,112,8,R15,-101242,-101222
48,113,6,P10,-180258,-180142
48,113,6,P11,-180134,-180019
48,113,7,Q12,-132332,-132284
48,113,7,Q13,-132276,-132229
48,113,8,R14,-101270,-101251
48,113,8,R15,-101242,-101223
48,114,6,P10,-180260,-180144
48,114,6,P11,-180136,-180021
48,114,7,Q12,-132333,-132286
48,114,7,Q13,-132277,-132230
48,114,8,R14,-101271,-101252
48,114,8,R15,-101243,-101224
48,115,6,P10,-180261,-180145
48,115,6,P11,-180138,-180022
48,115,7,Q12,-132334,-132287
48,115,7,Q13,-132278,-132231
48,115,8,R14,-101272,-101253
48,115,8,R15,-101244,-101225
48,116,6,P10,-180263,-180147
48,116,6,P11,-180139,-180024
48,116,7,Q12,-132335,-132288
48,116,7,Q13,-132280,-132233
48,116,8,R14,-101273,-101253
48,116,8,R15,-101245,-101226
48,117,6,P10,-180264,-180148
48,117,6,P11,-180141,-180025
48,117,7,Q12,-132336,-132289
48,117,7,Q13,-132281,-132234
48,117,8,R14,-101274,-101254
48,117,8,R15,-101246,-101226
48,118,6,P10,-180266,-180150
48,118,6,P11,-180142,-180027
48,118,7,Q12,-132337,-132290
48,118,7,Q13,-132282,-132235
48,118,8,R14,-101275,-101255
48,118,8,R15,-101247,-101227
48,120,6,P10,-180269,-180153
48,120,6,P11,-180145,-180030
48,120,7,Q12,-132339,-132292
48,120,7,Q13,-132284,-132237
48,120,8,R14,-101276,-101257
48,120,8,R15,-101248,-101229
49,104,6,P10,-187847,-187722
49,104,6,P11,-187713,-187589
49,104,7,Q12,-137899,-137848
49,104,7,Q13,-137839,-137788
49,104,8,R14,-105529,-105508
49,104,8,R15,-105499,-105478
49,105,6,P10,-187849,-187724
49,105,6,P11,-187715,-187591
49,105,7,Q12,-137900,-137849
49,105,7,Q13,-137840,-137789
49,105,8,R14,-105530,-105509
49,105,8,R15,-105500,-105479
49,106,6,P10,-187851,-187726
49,106,6,P11,-187717,-187593
49,106,7,Q12,-137902,-137851
49,106,7,Q13,-137842,-137791
49,106,8,R14,-105531,-105510
49,106,8,R15,-105501,-105480
49,107,6,P10,-187853,-187728
49,107,6,P11,-187718,-187594
49,107,7,Q12,-137903,-137852
49,107,7,Q13,-137843,-137792
49,107,8,R14,-105532,-105511
49,107,8,R15,-105502,-105481
49,108,6,P10,-187854,-187730
49,108,6,P11,-187720,-187596
49,108,7,Q12,-137905,-137853
49,108,7,Q13,-137844,-137793
49,108,8,R14,-105533,-105512
49,108,8,R15,-105503,-105482
49,109,6,P10,-187856,-187732
49,109,6,P11,-187722,-187598
49,109,7,Q12,-137906,-137855
49,109,7,Q13,-137846,-137795
49,109,8,R14,-105534,-105513
49,109,8,R15,-105504,-105483
49,110,6,P10,-187858,-187733
49,110,6,P11,-187724,-187600
49,110,7,Q12,-137907,-137856
49,110,7,Q13,-137847,-137796
49,110,8,R14,-105535,-105514
49,110,8,R15,-105505,-105484
49,111,6,P10,-187860,-187735
49,111,6,P11,-187726,-187602
49,111,7,Q12,-137908,-137857
49,111,7,Q13,-137848,-137797
49,111,8,R14,-105536,-105515
49,111,8,R15,-105506,-105485
49,112,6,P10,-187862,-187737
49,112,6,P11,-187727,-187603
49,112,7,Q12,-137910,-137858
49,112,7,Q13,-137850,-137798
49,112,8,R14,-105537,-105516
49,112,8,R15,-105507,-105486
49,113,6,P10,-187863,-187739
49,113,6,P11,-187729,-187605
49,113,7,Q12,-137911,-137860
49,113,7,Q13,-137851,-137800
49,113,8,R14,-105538,-105517
49,113,8,R15,-105508,-105487
49,114,6,P10,-187865,-187740
49,114,6,P11,-187731,-187607
49,114,7,Q12,-137912,-137861
49,114,7,Q13,-137852,-137801
49,114,8,R14,-105539,-105518
49,114,8,R15,-105509,-105488
49,115,6,P10,-187867,-187742
49,115,6,P11,-187732,-187608
49,115,7,Q12,-137913,-137862
49,115,7,Q13,-137853,-137802
49,115,8,R14,-105540,-105519
49,115,8,R15,-105510,-105489
49,116,6,P10,-187868,-187743
49,116,6,P11,-187734,-187610
49,116,7,Q12,-137915,-137863
49,116,7,Q13,-137854,-137803
49,116,8,R14,-105541,-105520
49,116,8,R15,-105511,-105489
49,117,6,P10,-187870,-187745
49,117,6,P11,-187736,-187611
49,117,7,Q12,-137916,-137864
49,117,7,Q13,-137856,-137804
49,117,8,R14,-105542,-105520
49,117,8,R15,-105512,-105490
49,118,6,P10,-187871,-187747
49,118,6,P11,-187737,-187613
49,118,7,Q12,-137917,-137866
49,118,7,Q13,-137857,-137806
49,118,8,R14,-105543,-105521
49,118,8,R15,-105512,-105491
49,119,6,P10,-187873,-187748
49,119,6,P11,-187739,-187614
49,119,7,Q12,-137918,-137867
49,119,7,Q13,-137858,-137807
49,119,8,R14,-105544,-105522
49,119,8,R15,-105513,-105492
49,120,6,P10,-187874,-187750
49,120,6,P11,-187740,-187616
49,120,7,Q12,-137919,-137868
49,120,7,Q13,-137859,-137808
49,120,8,R14,-105544,-105523
49,120,8,R15,-105514,-105493
49,121,6,P10,-187876,-187751
49,121,6,P11,-187742,-187617
49,121,7,Q12,-137920,-137869
49,121,7,Q13,-137860,-137809
49,121,8,R14,-105545,-105524
49,121,8,R15,-105515,-105494
49,122,6,P10,-187877,-187752
49,122,6,P11,-187743,-187619
49,122,7,Q12,-137921,-137870
49,122,7,Q13,-137861,-137810
49,122,8,R14,-105546,-105525
49,122,8,R15,-105516,-105495
49,123,6,P10,-187879,-187754
49,123,6,P11,-187744,-187620
49,123,7,Q12,-137922,-137871
49,123,7,Q13,-137862,-137811
49,123,8,R14,-105547,-105525
49,123,8,R15,-105517,-105495
49,124,6,P10,-187880,-187755
49,124,6,P11,-187746,-187622
49,124,7,Q12,-137923,-137872
49,124,7,Q13,-137863,-137812
49,124,8,R14,-105548,-105526
49,124,8,R15,-105517,-105496
49,125,6,P10,-187881,-187757
49,125,6,P11,-187747,-187623
49,125,7,Q12,-137924,-137873
49,125,7,Q13,-137864,-137813
49,125,8,R14,-105548,-105527
49,125,8,R15,-105518,-105497
49,126,6,P10,-187883,-187758
49,126,6,P11,-187749,-187624
49,126,7,Q12,-137925,-137874
49,126,7,Q13,-137865,-137814
49,126,8,R14,-105549,-105528
49,126,8,R15,-105519,-105498
49,127,6,P10,-187884,-187759
49,127,6,P11,-187750,-187626
49,127,7,Q12,-137926,-137875
49,127,7,Q13,-137866,-137815
49,127,8,R14,-105550,-105529
49,127,8,R15,-105520,-105498
50,108,6,P10,-195618,-195483
50,108,6,P11,-195472,-195339
50,108,7,Q12,-143599,-143544
50,108,7,Q13,-143534,-143479
50,108,8,R14,-109889,-109866
50,108,8,R15,-109857,-109833
50,109,6,P10,-195619,-195485
50,109,6,P11,-195474,-195340
50,109,7,Q12,-143601,-143545
50,109,7,Q13,-143535,-143480
50,109,8,R14,-109890,-109867
50,109,8,R15,-109858,-109834
50,110,6,P10,-195621,-195487
50,110,6,P11,-195476,-195342
50,110,7,Q12,-143602,-143547
50,110,7,Q13,-143537,-143481
50,110,8,R14,-109891,-109868
50,110,8,R15,-109859,-109835
50,111,6,P10,-195623,-195489
50,111,6,P11,-195478,-195344
50,111,7,Q12,-143603,-143548
50,111,7,Q13,-143538,-143483
50,111,8,R14,-109892,-109869
50,111,8,R15,-109860,-109837
50,112,6,P10,-195625,-195491
50,112,6,P11,-195479,-195346
50,112,7,Q12,-143605,-143549
50,112,7,Q13,-143539,-143484
50,112,8,R14,-109893,-109870
50,112,8,R15,-109861,-109838
50,113,6,P10,-195627,-195493
50,113,6,P11,-195481,-195348
50,113,7,Q12,-143606,-143551
50,113,7,Q13,-143541,-143485
50,113,8,R14,-109894,-109871
50,113,8,R15,-109862,-109838
50,114,6,P10,-195628,-195494
50,114,6,P11,-195483,-195349
50,114,7,Q12,-143607,-143552
50,114,7,Q13,-143542,-143487
50,114,8,R14,-109895,-109872
50,114,8,R15,-109863,-109839
50,115,6,P10,-195630,-195496
50,115,6,P11,-195485,-195351
50,115,7,Q12,-143609,-143553
50,115,7,Q13,-143543,-143488
50,115,8,R14,-109896,-109873
50,115,8,R15,-109864,-109840
50,116,6,P10,-195632,-195498
50,116,6,P11,-195486,-195353
50,116,7,Q12,-143610,-143554
50,116,7,Q13,-143545,-143489
50,116,8,R14,-109897,-109874
50,116,8,R15,-109865,-109841
50,117,6,P10,-195633,-195499
50,117,6,P11,-195488,-195354
50,117,7,Q12,-143611,-143555
50,117,7,Q13,-143546,-143490
50,117,8,R14,-109898,-109875
50,117,8,R15,-109866,-109842
50,118,6,P10,-195635,-195501
50,118,6,P11,-195489,-195356
50,118,7,Q12,-143612,-143557
50,118,7,Q13,-143547,-143491
50,118,8,R14,-109899,-109876
50,118,8,R15,-109866,-109843
50,119,6,P10,-195637,-195502
50,119,6,P11,-195491,-195357
50,119,7,Q12,-143613,-143558
50,119,7,Q13,-143548,-143493
50,119,8,R14,-109900,-109877
50,119,8,R15,-109867,-109844
50,120,6,P10,-195638,-195504
50,120,6,P11,-195493,-195359
50,120,7,Q12,-143614,-143559
50,120,7,Q13,-143549,-143494
