run,Z,A,kind,rc,err_bytes
Na24_ideal6,11,24,ideal6,0,0
Na24_ideal7,11,24,ideal7,0,0
Na24_ideal8,11,24,ideal8,0,0
Na25_base,11,25,base,0,0
Na25_rsig,11,25,rsig,0,0
Na25_ideal6,11,25,ideal6,0,0
Na25_ideal7,11,25,ideal7,0,0
Na25_ideal8,11,25,ideal8,0,0
Na26_base,11,26,base,0,0
Na26_rsig,11,26,rsig,0,0
Na26_ideal6,11,26,ideal6,0,0
Na26_ideal7,11,26,ideal7,0,0
Na26_ideal8,11,26,ideal8,0,0
Na27_base,11,27,base,0,0
Na27_rsig,11,27,rsig,0,0
Na27_ideal6,11,27,ideal6,0,0
Na27_ideal7,11,27,ideal7,0,0
Na27_ideal8,11,27,ideal8,0,0
Na28_base,11,28,base,0,0
Na28_rsig,11,28,rsig,0,0
Na28_ideal6,11,28,ideal6,0,0
Na28_ideal7,11,28,ideal7,0,0
Na28_ideal8,11,28,ideal8,0,0
Na29_base,11,29,base,0,0
Na29_rsig,11,29,rsig,0,0
Na29_ideal6,11,29,ideal6,0,0
Na29_ideal7,11,29,ideal7,0,0
Na29_ideal8,11,29,ideal8,0,0
Na30_base,11,30,base,0,0
Na30_rsig,11,30,rsig,0,0
Na30_ideal6,11,30,ideal6,0,0
Na30_ideal7,11,30,ideal7,0,0
Na30_ideal8,11,30,ideal8,0,0
Na31_base,11,31,base,0,0
Na31_rsig,11,31,rsig,0,0
Na31_ideal6,11,31,ideal6,0,0
Na31_ideal7,11,31,ideal7,0,0
Na31_ideal8,11,31,ideal8,0,0
Mg24_base,12,24,base,0,0
Mg24_rsig,12,24,rsig,0,0
Mg24_ideal6,12,24,ideal6,0,0
Mg24_ideal7,12,24,ideal7,0,0
Mg24_ideal8,12,24,ideal8,0,0
Mg25_base,12,25,base,0,0
Mg25_rsig,12,25,rsig,0,0
Mg25_ideal6,12,25,ideal6,0,0
Mg25_ideal7,12,25,ideal7,0,0
Mg25_ideal8,12,25,ideal8,0,0
Mg26_base,12,26,base,0,0
Mg26_rsig,12,26,rsig,0,0
Mg26_ideal6,12,26,ideal6,0,0
Mg26_ideal7,12,26,ideal7,0,0
Mg26_ideal8,12,26,ideal8,0,0
Al27_base,13,27,base,0,0
Al27_rsig,13,27,rsig,0,0
Al27_ideal6,13,27,ideal6,0,0
Al27_ideal7,13,27,ideal7,0,0
Al27_ideal8,13,27,ideal8,0,0
Si28_base,14,28,base,0,0
Si28_rsig,14,28,rsig,0,0
Si28_ideal6,14,28,ideal6,0,0
Si28_ideal7,14,28,ideal7,0,0
Si28_ideal8,14,28,ideal8,0,0
Si29_base,14,29,base,0,0
Si29_rsig,14,29,rsig,0,0
Si29_ideal6,14,29,ideal6,0,0
Si29_ideal7,14,29,ideal7,0,0
Si29_ideal8,14,29,ideal8,0,0
Si30_base,14,30,base,0,0
Si30_rsig,14,30,rsig,0,0
Si30_ideal6,14,30,ideal6,0,0
Si30_ideal7,14,30,ideal7,0,0
Si30_ideal8,14,30,ideal8,0,0
P31_base,15,31,base,0,0
P31_rsig,15,31,rsig,0,0
P31_ideal6,15,31,ideal6,0,0
P31_ideal7,15,31,ideal7,0,0
P31_ideal8,15,31,ideal8,0,0
S32_base,16,32,base,0,0
S32_rsig,16,32,rsig,0,0
S32_ideal6,16,32,ideal6,0,0
S32_ideal7,16,32,ideal7,0,0
S32_ideal8,16,32,ideal8,0,0
S34_base,16,34,base,0,0
S34_rsig,16,34,rsig,0,0
S34_ideal6,16,34,ideal6,0,0
S34_ideal7,16,34,ideal7,0,0
S34_ideal8,16,34,ideal8,0,0
S36_base,16,36,base,0,0
S36_rsig,16,36,rsig,0,0
S36_ideal6,16,36,ideal6,0,0
S36_ideal7,16,36,ideal7,0,0
S36_ideal8,16,36,ideal8,0,0
Cl35_base,17,35,base,0,0
Cl35_rsig,17,35,rsig,0,0
Cl35_ideal6,17,35,ideal6,0,0
Cl35_ideal7,17,35,ideal7,0,0
Cl35_ideal8,17,35,ideal8,0,0
Cl37_base,17,37,base,0,0
Cl37_rsig,17,37,rsig,0,0
Cl37_ideal6,17,37,ideal6,0,0
Cl37_ideal7,17,37,ideal7,0,0
Cl37_ideal8,17,37,ideal8,0,0
Ar32_base,18,32,base,0,0
Ar32_rsig,18,32,rsig,0,0
Ar32_ideal6,18,32,ideal6,0,0
Ar32_ideal7,18,32,ideal7,0,0
Ar32_ideal8,18,32,ideal8,0,0
Ar33_base,18,33,base,0,0
Ar33_rsig,18,33,rsig,0,0
Ar33_ideal6,18,33,ideal6,0,0
Ar33_ideal7,18,33,ideal7,0,0
Ar33_ideal8,18,33,ideal8,0,0
Ar34_base,18,34,base,0,0
Ar34_rsig,18,34,rsig,0,0
Ar34_ideal6,18,34,ideal6,0,0
Ar34_ideal7,18,34,ideal7,0,0
Ar34_ideal8,18,34,ideal8,0,0
Ar35_base,18,35,base,0,0
Ar35_rsig,18,35,rsig,0,0
Ar35_ideal6,18,35,ideal6,0,0
Ar35_ideal7,18,35,ideal7,0,0
Ar35_ideal8,18,35,ideal8,0,0
Ar36_base,18,36,base,0,0
Ar36_rsig,18,36,rsig,0,0
Ar36_ideal6,18,36,ideal6,0,0
Ar36_ideal7,18,36,ideal7,0,0
Ar36_ideal8,18,36,ideal8,0,0
Ar37_base,18,37,base,0,0
Ar37_rsig,18,37,rsig,0,0
Ar37_ideal6,18,37,ideal6,0,0
Ar37_ideal7,18,37,ideal7,0,0
Ar37_ideal8,18,37,ideal8,0,0
Ar38_base,18,38,base,0,0
Ar38_rsig,18,38,rsig,0,0
Ar38_ideal6,18,38,ideal6,0,0
Ar38_ideal7,18,38,ideal7,0,0
Ar38_ideal8,18,38,ideal8,0,0
Ar39_base,18,39,base,0,0
Ar39_rsig,18,39,rsig,0,0
Ar39_ideal6,18,39,ideal6,0,0
Ar39_ideal7,18,39,ideal7,0,0
Ar39_ideal8,18,39,ideal8,0,0
Ar40_base,18,40,base,0,0
Ar40_rsig,18,40,rsig,0,0
Ar40_ideal6,18,40,ideal6,0,0
Ar40_ideal7,18,40,ideal7,0,0
Ar40_ideal8,18,40,ideal8,0,0
Ar41_base,18,41,base,0,0
Ar41_rsig,18,41,rsig,0,0
Ar41_ideal6,18,41,ideal6,0,0
Ar41_ideal7,18,41,ideal7,0,0
Ar41_ideal8,18,41,ideal8,0,0
Ar42_base,18,42,base,0,0
Ar42_rsig,18,42,rsig,0,0
Ar42_ideal6,18,42,ideal6,0,0
Ar42_ideal7,18,42,ideal7,0,0
Ar42_ideal8,18,42,ideal8,0,0
Ar43_base,18,43,base,0,0
Ar43_rsig,18,43,rsig,0,0
Ar43_ideal6,18,43,ideal6,0,0
Ar43_ideal7,18,43,ideal7,0,0
Ar43_ideal8,18,43,ideal8,0,0
Ar44_base,18,44,base,0,0
Ar44_rsig,18,44,rsig,0,0
Ar44_ideal6,18,44,ideal6,0,0
Ar44_ideal7,18,44,ideal7,0,0
Ar44_ideal8,18,44,ideal8,0,0
Ar46_base,18,46,base,0,0
Ar46_rsig,18,46,rsig,0,0
Ar46_ideal6,18,46,ideal6,0,0
Ar46_ideal7,18,46,ideal7,0,0
Ar46_ideal8,18,46,ideal8,0,0
K38_base,19,38,base,0,0
K38_rsig,19,38,rsig,0,0
K38_ideal6,19,38,ideal6,0,0
K38_ideal7,19,38,ideal7,0,0
K38_ideal8,19,38,ideal8,0,0
K39_base,19,39,base,0,0
K39_rsig,19,39,rsig,0,0
K39_ideal6,19,39,ideal6,0,0
K39_ideal7,19,39,ideal7,0,0
K39_ideal8,19,39,ideal8,0,0
K40_base,19,40,base,0,0
