source,Z,A,transition,quantity,consumer_quantity,initial_n,final_n,measured_keV,unc_keV,tol_keV,solver_keV,consumer_keV,stock_keV,solver_residual_keV,consumer_residual_keV,stock_residual_keV,solver_within,consumer_within,stock_within,consumer_closer_than_stock,representation_error_keV,solver_numeric_target_keV,solver_numeric_shifts_keV,solver_numeric_qualification,consumer_numeric_target_keV,consumer_numeric_shifts_keV,consumer_numeric_qualification,locator,copy_read
Fricke1995,41,93,2p1/2-1s1/2,K1-L2,shell_difference,2,1,2603.418,0.020,0.060,2603.210000102,2618.5556947939999,2598.677904263,-0.207999898,15.1376947939999,-4.740095737,false,false,false,false,15.3456946919999,0.0020,0.065909902;0.015858405,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0050138072870880001,0.0662841606666666666666666666666666666666666667;0.0159523216666666666666666666666666666666666666,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 215, row 93Nb","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,41,93,2p3/2-1s1/2,K1-L3,shell_difference,2,1,2626.680,0.016,0.048,2626.22854214,2618.5556947939999,2598.677904263,-0.45145786,-8.1243052060001,-28.002095737,false,false,false,true,-7.6728473460001,0.0016,0.06647129;0.01599928,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0050138072870880001,0.0662841606666666666666666666666666666666666667;0.0159523216666666666666666666666666666666666666,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 215, row 93Nb","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,44,102,2p1/2-1s1/2,K1-L2,shell_difference,2,1,2864.404,0.035,0.105,2863.638237678,2883.2500990419999,2877.482024463,-0.765762322,18.8460990419999,13.078024463,false,false,false,false,19.6118613639999,0.0035,0.073939865;0.017777367,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0056435159245299997,0.074467631;0.017909231,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 216, row 102Ru","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,44,102,2p3/2-1s1/2,K1-L3,shell_difference,2,1,2893.906,0.029,0.087,2893.056029724,2883.2500990419999,2877.482024463,-0.849970276,-10.6559009580001,-16.423975537,false,false,false,true,-9.8059306820001,0.0029,0.074731514;0.017975163,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0056435159245299997,0.074467631;0.017909231,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 216, row 102Ru","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,47,107,2p1/2-1s1/2,K1-L2,shell_difference,2,1,3147.135,0.028,0.084,3145.884473083,3170.6037134463335,3151.412529299,-1.250526917,23.4687134463335,4.277529299,false,false,false,false,24.7192403633335,0.0028,0.084170842;0.020201114,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0063220169050356667,0.0849023313333333333333333333333333333333333334;0.0203831086666666666666666666666666666666666666,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 218, row 107Ag","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,47,107,2p3/2-1s1/2,K1-L3,shell_difference,2,1,3184.302,0.021,0.063,3182.963333628,3170.6037134463335,3151.412529299,-1.338666372,-13.6982865536665,-32.889470701,false,false,false,true,-12.3596201816665,0.0021,0.085268076;0.020474106,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0063220169050356667,0.0849023313333333333333333333333333333333333334;0.0203831086666666666666666666666666666666666666,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 218, row 107Ag","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,49,115,2p1/2-1s1/2,K1-L2,shell_difference,2,1,3322.991,0.032,0.096,3322.569897053,3351.0123792123330,3329.732739173,-0.421102947,28.0213792123330,6.741739173,false,false,false,false,28.4424821593330,0.0032,0.090054540;0.021598289,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0067769354714316662,0.0909438006666666666666666666666666666666666667;0.021818991,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 219, row 115In","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,49,115,2p3/2-1s1/2,K1-L3,shell_difference,2,1,3366.759,0.021,0.063,3365.233620292,3351.0123792123330,3329.732739173,-1.525379708,-15.7466207876670,-37.026260827,false,false,false,true,-14.2212410796670,0.0021,0.091388431;0.021929342,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0067769354714316662,0.0909438006666666666666666666666666666666666667;0.021818991,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 219, row 115In","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,53,127,2p1/2-1s1/2,K1-L2,shell_difference,2,1,3667.361,0.035,0.105,3667.632427035,3704.3960936943331,3674.002649588,0.271427035,37.0350936943331,6.641649588,false,false,false,false,36.7636666593331,0.0035,0.101359525;0.024281693,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0077119035804196665,0.1026265536666666666666666666666666666666666667;0.024594737,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 221, row 127J","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,53,127,2p3/2-1s1/2,K1-L3,shell_difference,2,1,3723.742,0.033,0.099,3722.777927024,3704.3960936943331,3674.002649588,-0.964072976,-19.3459063056669,-49.739350412,false,false,false,true,-18.3818333296669,0.0033,0.103260068;0.024751259,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0077119035804196665,0.1026265536666666666666666666666666666666666667;0.024594737,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 221, row 127J","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
