run,Z,A,setting,state,n,l,s,binding_eV,total_eV
Be9_g0u0700,4,9,g0u0700,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u0700,4,9,g0u0700,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u0800,4,9,g0u0800,K1,1,0,1,-44512.9,1.04301e+08
Be9_g0u0800,4,9,g0u0800,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u0800,4,9,g0u0800,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u0800,4,9,g0u0800,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u0800,4,9,g0u0800,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u0800,4,9,g0u0800,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u0800,4,9,g0u0800,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u0800,4,9,g0u0800,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u0800,4,9,g0u0800,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u0800,4,9,g0u0800,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u0800,4,9,g0u0800,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u0800,4,9,g0u0800,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u0800,4,9,g0u0800,Q13,7,6,1,-907.19,1.04344e+08
Be9_g0u0800,4,9,g0u0800,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u0800,4,9,g0u0800,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u0900,4,9,g0u0900,K1,1,0,1,-44512.9,1.04301e+08
Be9_g0u0900,4,9,g0u0900,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u0900,4,9,g0u0900,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u0900,4,9,g0u0900,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u0900,4,9,g0u0900,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u0900,4,9,g0u0900,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u0900,4,9,g0u0900,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u0900,4,9,g0u0900,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u0900,4,9,g0u0900,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u0900,4,9,g0u0900,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u0900,4,9,g0u0900,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u0900,4,9,g0u0900,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u0900,4,9,g0u0900,Q13,7,6,1,-907.19,1.04344e+08
Be9_g0u0900,4,9,g0u0900,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u0900,4,9,g0u0900,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u1000,4,9,g0u1000,K1,1,0,1,-44512.9,1.04301e+08
Be9_g0u1000,4,9,g0u1000,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u1000,4,9,g0u1000,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u1000,4,9,g0u1000,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u1000,4,9,g0u1000,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u1000,4,9,g0u1000,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u1000,4,9,g0u1000,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u1000,4,9,g0u1000,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u1000,4,9,g0u1000,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u1000,4,9,g0u1000,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u1000,4,9,g0u1000,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u1000,4,9,g0u1000,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u1000,4,9,g0u1000,Q13,7,6,1,-907.19,1.04344e+08
Be9_g0u1000,4,9,g0u1000,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u1000,4,9,g0u1000,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u1100,4,9,g0u1100,K1,1,0,1,-44512.9,1.04301e+08
Be9_g0u1100,4,9,g0u1100,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u1100,4,9,g0u1100,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u1100,4,9,g0u1100,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u1100,4,9,g0u1100,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u1100,4,9,g0u1100,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u1100,4,9,g0u1100,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u1100,4,9,g0u1100,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u1100,4,9,g0u1100,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u1100,4,9,g0u1100,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u1100,4,9,g0u1100,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u1100,4,9,g0u1100,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u1100,4,9,g0u1100,Q13,7,6,1,-907.19,1.04344e+08
Be9_g0u1100,4,9,g0u1100,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u1100,4,9,g0u1100,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u1200,4,9,g0u1200,K1,1,0,1,-44512.9,1.04301e+08
Be9_g0u1200,4,9,g0u1200,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u1200,4,9,g0u1200,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u1200,4,9,g0u1200,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u1200,4,9,g0u1200,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u1200,4,9,g0u1200,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u1200,4,9,g0u1200,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u1200,4,9,g0u1200,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u1200,4,9,g0u1200,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u1200,4,9,g0u1200,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u1200,4,9,g0u1200,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u1200,4,9,g0u1200,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u1200,4,9,g0u1200,Q13,7,6,1,-907.19,1.04344e+08
Be9_g0u1200,4,9,g0u1200,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u1200,4,9,g0u1200,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u1300,4,9,g0u1300,K1,1,0,1,-44512.9,1.04301e+08
Be9_g0u1300,4,9,g0u1300,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u1300,4,9,g0u1300,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u1300,4,9,g0u1300,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u1300,4,9,g0u1300,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u1300,4,9,g0u1300,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u1300,4,9,g0u1300,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u1300,4,9,g0u1300,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u1300,4,9,g0u1300,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u1300,4,9,g0u1300,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u1300,4,9,g0u1300,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u1300,4,9,g0u1300,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u1300,4,9,g0u1300,Q13,7,6,1,-907.19,1.04344e+08
Be9_g0u1300,4,9,g0u1300,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u1300,4,9,g0u1300,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u1400,4,9,g0u1400,K1,1,0,1,-44512.9,1.04301e+08
Be9_g0u1400,4,9,g0u1400,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u1400,4,9,g0u1400,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u1400,4,9,g0u1400,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u1400,4,9,g0u1400,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u1400,4,9,g0u1400,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u1400,4,9,g0u1400,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u1400,4,9,g0u1400,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u1400,4,9,g0u1400,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u1400,4,9,g0u1400,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u1400,4,9,g0u1400,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u1400,4,9,g0u1400,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u1400,4,9,g0u1400,Q13,7,6,1,-907.19,1.04344e+08
Be9_g0u1400,4,9,g0u1400,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u1400,4,9,g0u1400,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u1500,4,9,g0u1500,K1,1,0,1,-44512.9,1.04301e+08
Be9_g0u1500,4,9,g0u1500,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u1500,4,9,g0u1500,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u1500,4,9,g0u1500,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u1500,4,9,g0u1500,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u1500,4,9,g0u1500,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u1500,4,9,g0u1500,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u1500,4,9,g0u1500,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u1500,4,9,g0u1500,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u1500,4,9,g0u1500,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u1500,4,9,g0u1500,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u1500,4,9,g0u1500,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u1500,4,9,g0u1500,Q13,7,6,1,-907.19,1.04344e+08
Be9_g0u1500,4,9,g0u1500,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u1500,4,9,g0u1500,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u1600,4,9,g0u1600,K1,1,0,1,-44512.9,1.04301e+08
Be9_g0u1600,4,9,g0u1600,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u1600,4,9,g0u1600,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u1600,4,9,g0u1600,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u1600,4,9,g0u1600,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u1600,4,9,g0u1600,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u1600,4,9,g0u1600,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u1600,4,9,g0u1600,O8,5,4,0,-1778.12,1.04343e+08
