run,Z,A,kind,level,state,n,l,s,binding_eV,total_eV
Li8_rminus,3,8,rminus,0,L3,2,1,1,-6243.75,1.04179e+08
Li8_rminus,3,8,rminus,0,M4,3,2,0,-2774.21,1.04183e+08
Li8_rminus,3,8,rminus,0,M5,3,2,1,-2774.14,1.04183e+08
Li8_rminus,3,8,rminus,0,N6,4,3,0,-1560.41,1.04184e+08
Li8_rminus,3,8,rminus,0,N7,4,3,1,-1560.39,1.04184e+08
Li8_rminus,3,8,rminus,0,O8,5,4,0,-998.651,1.04184e+08
Li8_rminus,3,8,rminus,0,O9,5,4,1,-998.647,1.04184e+08
Li8_rminus,3,8,rminus,0,P10,6,5,0,-693.505,1.04185e+08
Li8_rminus,3,8,rminus,0,P11,6,5,1,-693.503,1.04185e+08
Li8_rminus,3,8,rminus,0,Q12,7,6,0,-509.513,1.04185e+08
Li8_rminus,3,8,rminus,0,Q13,7,6,1,-509.512,1.04185e+08
Li8_rminus,3,8,rminus,0,R14,8,7,0,-390.096,1.04185e+08
Li8_rminus,3,8,rminus,0,R15,8,7,1,-390.095,1.04185e+08
Li8_grid0,3,8,grid,0,K1,1,0,1,-25006.9,1.0416e+08
Li8_grid0,3,8,grid,0,L2,2,1,0,-6244.5,1.04179e+08
Li8_grid0,3,8,grid,0,L3,2,1,1,-6243.75,1.04179e+08
Li8_grid0,3,8,grid,0,M4,3,2,0,-2774.21,1.04183e+08
Li8_grid0,3,8,grid,0,M5,3,2,1,-2774.14,1.04183e+08
Li8_grid0,3,8,grid,0,N6,4,3,0,-1560.41,1.04184e+08
Li8_grid0,3,8,grid,0,N7,4,3,1,-1560.39,1.04184e+08
Li8_grid0,3,8,grid,0,O8,5,4,0,-998.651,1.04184e+08
Li8_grid0,3,8,grid,0,O9,5,4,1,-998.647,1.04184e+08
Li8_grid0,3,8,grid,0,P10,6,5,0,-693.505,1.04185e+08
Li8_grid0,3,8,grid,0,P11,6,5,1,-693.503,1.04185e+08
Li8_grid0,3,8,grid,0,Q12,7,6,0,-509.513,1.04185e+08
Li8_grid0,3,8,grid,0,Q13,7,6,1,-509.512,1.04185e+08
Li8_grid0,3,8,grid,0,R14,8,7,0,-390.096,1.04185e+08
Li8_grid0,3,8,grid,0,R15,8,7,1,-390.095,1.04185e+08
Li8_grid1,3,8,grid,1,K1,1,0,1,-25006.9,1.0416e+08
Li8_grid1,3,8,grid,1,L2,2,1,0,-6244.5,1.04179e+08
Li8_grid1,3,8,grid,1,L3,2,1,1,-6243.75,1.04179e+08
Li8_grid1,3,8,grid,1,M4,3,2,0,-2774.21,1.04183e+08
Li8_grid1,3,8,grid,1,M5,3,2,1,-2774.14,1.04183e+08
Li8_grid1,3,8,grid,1,N6,4,3,0,-1560.41,1.04184e+08
Li8_grid1,3,8,grid,1,N7,4,3,1,-1560.39,1.04184e+08
Li8_grid1,3,8,grid,1,O8,5,4,0,-998.651,1.04184e+08
Li8_grid1,3,8,grid,1,O9,5,4,1,-998.647,1.04184e+08
Li8_grid1,3,8,grid,1,P10,6,5,0,-693.505,1.04185e+08
Li8_grid1,3,8,grid,1,P11,6,5,1,-693.503,1.04185e+08
Li8_grid1,3,8,grid,1,Q12,7,6,0,-509.513,1.04185e+08
Li8_grid1,3,8,grid,1,Q13,7,6,1,-509.512,1.04185e+08
Li8_grid1,3,8,grid,1,R14,8,7,0,-390.096,1.04185e+08
Li8_grid1,3,8,grid,1,R15,8,7,1,-390.095,1.04185e+08
Li8_grid2,3,8,grid,2,K1,1,0,1,-25006.9,1.0416e+08
Li8_grid2,3,8,grid,2,L2,2,1,0,-6244.5,1.04179e+08
Li8_grid2,3,8,grid,2,L3,2,1,1,-6243.75,1.04179e+08
Li8_grid2,3,8,grid,2,M4,3,2,0,-2774.21,1.04183e+08
Li8_grid2,3,8,grid,2,M5,3,2,1,-2774.14,1.04183e+08
Li8_grid2,3,8,grid,2,N6,4,3,0,-1560.41,1.04184e+08
Li8_grid2,3,8,grid,2,N7,4,3,1,-1560.39,1.04184e+08
Li8_grid2,3,8,grid,2,O8,5,4,0,-998.651,1.04184e+08
Li8_grid2,3,8,grid,2,O9,5,4,1,-998.647,1.04184e+08
Li8_grid2,3,8,grid,2,P10,6,5,0,-693.505,1.04185e+08
Li8_grid2,3,8,grid,2,P11,6,5,1,-693.503,1.04185e+08
Li8_grid2,3,8,grid,2,Q12,7,6,0,-509.513,1.04185e+08
Li8_grid2,3,8,grid,2,Q13,7,6,1,-509.512,1.04185e+08
Li8_grid2,3,8,grid,2,R14,8,7,0,-390.096,1.04185e+08
Li8_grid2,3,8,grid,2,R15,8,7,1,-390.095,1.04185e+08
Li9_rminus,3,9,rminus,0,K1,1,0,1,-25048.5,1.04322e+08
Li9_rminus,3,9,rminus,0,L2,2,1,0,-6254.2,1.04341e+08
Li9_rminus,3,9,rminus,0,L3,2,1,1,-6253.45,1.04341e+08
Li9_rminus,3,9,rminus,0,M4,3,2,0,-2778.52,1.04344e+08
Li9_rminus,3,9,rminus,0,M5,3,2,1,-2778.45,1.04344e+08
Li9_rminus,3,9,rminus,0,N6,4,3,0,-1562.83,1.04346e+08
Li9_rminus,3,9,rminus,0,N7,4,3,1,-1562.82,1.04346e+08
Li9_rminus,3,9,rminus,0,O8,5,4,0,-1000.2,1.04346e+08
Li9_rminus,3,9,rminus,0,O9,5,4,1,-1000.2,1.04346e+08
Li9_rminus,3,9,rminus,0,P10,6,5,0,-694.583,1.04346e+08
Li9_rminus,3,9,rminus,0,P11,6,5,1,-694.581,1.04346e+08
Li9_rminus,3,9,rminus,0,Q12,7,6,0,-510.305,1.04347e+08
Li9_rminus,3,9,rminus,0,Q13,7,6,1,-510.304,1.04347e+08
Li9_rminus,3,9,rminus,0,R14,8,7,0,-390.702,1.04347e+08
Li9_rminus,3,9,rminus,0,R15,8,7,1,-390.701,1.04347e+08
Li9_grid0,3,9,grid,0,K1,1,0,1,-25047.6,1.04322e+08
Li9_grid0,3,9,grid,0,L2,2,1,0,-6254.2,1.04341e+08
Li9_grid0,3,9,grid,0,L3,2,1,1,-6253.45,1.04341e+08
Li9_grid0,3,9,grid,0,M4,3,2,0,-2778.52,1.04344e+08
Li9_grid0,3,9,grid,0,M5,3,2,1,-2778.45,1.04344e+08
Li9_grid0,3,9,grid,0,N6,4,3,0,-1562.83,1.04346e+08
