run,Z,A,kind,state,n,l,s,binding_eV,total_eV
He4_base,2,4,base,R15,8,7,1,-170.981,1.02746e+08
He4_rsig,2,4,rsig,K1,1,0,1,-10958,1.02736e+08
He4_rsig,2,4,rsig,L2,2,1,0,-2736.28,1.02744e+08
He4_rsig,2,4,rsig,L3,2,1,1,-2736.13,1.02744e+08
He4_rsig,2,4,rsig,M4,3,2,0,-1215.9,1.02745e+08
He4_rsig,2,4,rsig,M5,3,2,1,-1215.88,1.02745e+08
He4_rsig,2,4,rsig,N6,4,3,0,-683.93,1.02746e+08
He4_rsig,2,4,rsig,N7,4,3,1,-683.927,1.02746e+08
He4_rsig,2,4,rsig,O8,5,4,0,-437.714,1.02746e+08
He4_rsig,2,4,rsig,O9,5,4,1,-437.713,1.02746e+08
He4_rsig,2,4,rsig,P10,6,5,0,-303.967,1.02746e+08
He4_rsig,2,4,rsig,P11,6,5,1,-303.967,1.02746e+08
He4_rsig,2,4,rsig,Q12,7,6,0,-223.323,1.02746e+08
He4_rsig,2,4,rsig,Q13,7,6,1,-223.323,1.02746e+08
He4_rsig,2,4,rsig,R14,8,7,0,-170.981,1.02746e+08
He4_rsig,2,4,rsig,R15,8,7,1,-170.981,1.02746e+08
He6_base,2,6,base,K1,1,0,1,-11060.7,1.03693e+08
He6_base,2,6,base,L2,2,1,0,-2761.78,1.03701e+08
He6_base,2,6,base,L3,2,1,1,-2761.63,1.03701e+08
He6_base,2,6,base,M4,3,2,0,-1227.23,1.03703e+08
He6_base,2,6,base,M5,3,2,1,-1227.21,1.03703e+08
He6_base,2,6,base,N6,4,3,0,-690.303,1.03703e+08
He6_base,2,6,base,N7,4,3,1,-690.3,1.03703e+08
He6_base,2,6,base,O8,5,4,0,-441.792,1.03704e+08
He6_base,2,6,base,O9,5,4,1,-441.791,1.03704e+08
He6_base,2,6,base,P10,6,5,0,-306.8,1.03704e+08
He6_base,2,6,base,P11,6,5,1,-306.799,1.03704e+08
He6_base,2,6,base,Q12,7,6,0,-225.404,1.03704e+08
