run,Z,A,kind,line,delta_e_eV,w12_per_s
Li6_rsig,3,6,rsig,P10-Q12,183.140083,11999219697.842175
Li6_rsig,3,6,rsig,P11-Q12,183.138247,184599339.032019
Li6_rsig,3,6,rsig,P11-Q13,183.139074,12183723598.664356
Li6_rsig,3,6,rsig,Q12-R14,118.864538,6059013701.145977
Li6_rsig,3,6,rsig,Q13-R14,118.863711,67321281.938209
Li6_rsig,3,6,rsig,Q13-R15,118.864127,6126304734.845579
Li7_base,3,7,base,K1-L2,18722.869350,10358432850359.693359
Li7_base,3,7,base,K1-L3,18723.617933,10357529092196.113281
Li7_base,3,7,base,L2-M4,3463.354249,889191956897.308105
Li7_base,3,7,base,L3-M4,3462.605665,177794634529.591064
Li7_base,3,7,base,L3-M5,3462.679420,1066803835492.598389
Li7_base,3,7,base,M4-N6,1211.379544,212244979935.872711
Li7_base,3,7,base,M5-N6,1211.305789,15158964584.788359
Li7_base,3,7,base,M5-N7,1211.321338,227391496078.793182
Li7_base,3,7,base,N6-O8,560.636581,67651225668.672310
Li7_base,3,7,base,N7-O8,560.621032,2505476644.992459
Li7_base,3,7,base,N7-O9,560.625808,70154980417.956436
Li7_base,3,7,base,O8-P10,304.536993,26522098284.386948
Li7_base,3,7,base,O9-P10,304.532217,602755979.882570
Li7_base,3,7,base,O9-P11,304.534058,27124499526.679424
Li7_base,3,7,base,P10-Q12,183.624914,12030984995.481089
Li7_base,3,7,base,P11-Q12,183.623073,185088030.120823
Li7_base,3,7,base,P11-Q13,183.623902,12215977509.043600
Li7_base,3,7,base,Q12-R14,119.179211,6075054308.963799
Li7_base,3,7,base,Q13-R14,119.178382,67499501.385005
Li7_base,3,7,base,Q13-R15,119.178798,6142522825.502985
Li7_rsig,3,7,rsig,K1-L2,18722.010734,10358086146653.521484
Li7_rsig,3,7,rsig,K1-L3,18722.759307,10357182574747.882812
Li7_rsig,3,7,rsig,L2-M4,3463.354912,889192177568.657349
Li7_rsig,3,7,rsig,L3-M4,3462.606339,177794678555.471130
Li7_rsig,3,7,rsig,L3-M5,3462.680093,1066804031187.726074
Li7_rsig,3,7,rsig,M4-N6,1211.379586,212244979821.487457
Li7_rsig,3,7,rsig,M5-N6,1211.305832,15158965967.406118
Li7_rsig,3,7,rsig,M5-N7,1211.321381,227391516817.097748
Li7_rsig,3,7,rsig,N6-O8,560.636582,67651225662.116356
Li7_rsig,3,7,rsig,N7-O8,560.621033,2505476644.745670
Li7_rsig,3,7,rsig,N7-O9,560.625809,70154980411.199432
Li7_rsig,3,7,rsig,O8-P10,304.536993,26522098284.378845
Li7_rsig,3,7,rsig,O9-P10,304.532217,602755979.886091
Li7_rsig,3,7,rsig,O9-P11,304.534058,27124499526.634281
Li7_rsig,3,7,rsig,P10-Q12,183.624914,12030984995.481388
Li7_rsig,3,7,rsig,P11-Q12,183.623073,185088030.120845
Li7_rsig,3,7,rsig,P11-Q13,183.623902,12215977509.043709
Li7_rsig,3,7,rsig,Q12-R14,119.179211,6075054308.963783
Li7_rsig,3,7,rsig,Q13-R14,119.178382,67499501.385006
Li7_rsig,3,7,rsig,Q13-R15,119.178798,6142522825.502971
Li8_base,3,8,base,K1-L2,18762.409983,10380034085046.285156
Li8_base,3,8,base,K1-L3,18763.160092,10379127234139.068359
Li8_base,3,8,base,L2-M4,3470.286021,890972055230.549316
Li8_base,3,8,base,L3-M4,3469.535913,178150552507.895081
Li8_base,3,8,base,L3-M5,3469.609815,1068939369924.975708
Li8_base,3,8,base,M4-N6,1213.802746,212669547904.557678
Li8_base,3,8,base,M5-N6,1213.728844,15189288542.114452
Li8_base,3,8,base,M5-N7,1213.744424,227846384518.104889
Li8_base,3,8,base,N6-O8,561.757899,67786526665.695396
Li8_base,3,8,base,N7-O8,561.742319,2510487683.497068
Li8_base,3,8,base,N7-O9,561.747104,70295291577.345642
Li8_base,3,8,base,O8-P10,305.146073,26575145042.318836
Li8_base,3,8,base,O9-P10,305.141288,603961513.960656
Li8_base,3,8,base,O9-P11,305.143134,27178749738.717449
Li8_base,3,8,base,P10-Q12,183.992168,12055047638.668013
Li8_base,3,8,base,P11-Q12,183.990322,185458206.512930
Li8_base,3,8,base,P11-Q13,183.991153,12240410301.047607
Li8_base,3,8,base,Q12-R14,119.417571,6087203902.986063
Li8_base,3,8,base,Q13-R14,119.416741,67634503.483263
Li8_base,3,8,base,Q13-R15,119.417158,6154807394.546783
Li8_rsig,3,8,rsig,K1-L2,18761.538105,10379681958613.714844
Li8_rsig,3,8,rsig,K1-L3,18762.288204,10378775297041.123047
Li8_rsig,3,8,rsig,L2-M4,3470.286773,890972282486.274292
Li8_rsig,3,8,rsig,L3-M4,3469.536674,178150609261.751556
Li8_rsig,3,8,rsig,L3-M5,3469.610576,1068939710448.046753
Li8_rsig,3,8,rsig,M4-N6,1213.802794,212669567250.414429
Li8_rsig,3,8,rsig,M5-N6,1213.728892,15189289924.002302
Li8_rsig,3,8,rsig,M5-N7,1213.744472,227846384384.309387
