Z,A,parity_value,parity_unc,published_cells_at_z,equal_count,equal_locators
20,40,2.5359,0.0070,Table IV p.2218 row 37 Ca 2.55+-0.05 [10^6/s]; Table IV p.2218 row 38 Ca 2.444+-0.023 [10^6/s]; Table IV p.2218 row 39 Ca 2.529+-0.008 [10^6/s]; Table IV p.2218 row 40 Ca 2.29+-0.05 [10^6/s]; Table IV p.2218 row 41 Ca 2.557+-0.014 [10^6/s]; Table IV p.2218 row 42 43.8Ca 1.793+-0.040 [10^6/s],0,
21,45,2.711,0.025,Table IV p.2218 row 43 Sc 2.711+-0.025 [10^6/s],1,Table IV p.2218 row 43
22,48,2.5908,0.0115,Table IV p.2218 row 44 Ti 2.63+-0.06 [10^6/s]; Table IV p.2218 row 45 Ti 2.60+-0.04 [10^6/s]; Table IV p.2218 row 46 Ti 2.590+-0.012 [10^6/s],0,
23,51,3.073,0.022,Table IV p.2218 row 47 V 3.37+-0.06 [10^6/s]; Table IV p.2218 row 48 V 3.24+-0.07 [10^6/s]; Table IV p.2218 row 49 V 3.09+-0.05 [10^6/s]; Table IV p.2218 row 50 V 3.069+-0.025 [10^6/s],0,
24,50,3.825,0.050,Table IV p.2218 row 51 Cr 3.24+-0.08 [10^6/s]; Table IV p.2218 row 52 Cr 3.33+-0.06 [10^6/s]; Table IV p.2218 row 53 Cr 3.472+-0.031 [10^6/s]; Table IV p.2218 row 54 50Cr 3.825+-0.050 [10^6/s]; Table IV p.2218 row 55 52Cr 3.452+-0.047 [10^6/s]; Table IV p.2218 row 56 53Cr 3.297+-0.045 [10^6/s]; Table IV p.2218 row 57 54Cr 3.057+-0.042 [10^6/s]; Table IV p.2218 row 58 natCr 3.444+-0.047 [10^6/s],1,Table IV p.2218 row 54
24,52,3.465,0.026,Table IV p.2218 row 51 Cr 3.24+-0.08 [10^6/s]; Table IV p.2218 row 52 Cr 3.33+-0.06 [10^6/s]; Table IV p.2218 row 53 Cr 3.472+-0.031 [10^6/s]; Table IV p.2218 row 54 50Cr 3.825+-0.050 [10^6/s]; Table IV p.2218 row 55 52Cr 3.452+-0.047 [10^6/s]; Table IV p.2218 row 56 53Cr 3.297+-0.045 [10^6/s]; Table IV p.2218 row 57 54Cr 3.057+-0.042 [10^6/s]; Table IV p.2218 row 58 natCr 3.444+-0.047 [10^6/s],0,
24,53,3.297,0.045,Table IV p.2218 row 51 Cr 3.24+-0.08 [10^6/s]; Table IV p.2218 row 52 Cr 3.33+-0.06 [10^6/s]; Table IV p.2218 row 53 Cr 3.472+-0.031 [10^6/s]; Table IV p.2218 row 54 50Cr 3.825+-0.050 [10^6/s]; Table IV p.2218 row 55 52Cr 3.452+-0.047 [10^6/s]; Table IV p.2218 row 56 53Cr 3.297+-0.045 [10^6/s]; Table IV p.2218 row 57 54Cr 3.057+-0.042 [10^6/s]; Table IV p.2218 row 58 natCr 3.444+-0.047 [10^6/s],1,Table IV p.2218 row 56
24,54,3.057,0.042,Table IV p.2218 row 51 Cr 3.24+-0.08 [10^6/s]; Table IV p.2218 row 52 Cr 3.33+-0.06 [10^6/s]; Table IV p.2218 row 53 Cr 3.472+-0.031 [10^6/s]; Table IV p.2218 row 54 50Cr 3.825+-0.050 [10^6/s]; Table IV p.2218 row 55 52Cr 3.452+-0.047 [10^6/s]; Table IV p.2218 row 56 53Cr 3.297+-0.045 [10^6/s]; Table IV p.2218 row 57 54Cr 3.057+-0.042 [10^6/s]; Table IV p.2218 row 58 natCr 3.444+-0.047 [10^6/s],1,Table IV p.2218 row 57
25,55,3.900,0.030,Table IV p.2218 row 59 Mn 3.67+-0.08 [10^6/s]; Table IV p.2218 row 60 Mn 3.98+-0.05 [10^6/s]; Table IV p.2219 row 3 Mn 3.857+-0.037 [10^6/s],0,
26,56,4.408,0.022,Table IV p.2219 row 4 Fe 4.53+-0.10 [10^6/s]; Table IV p.2219 row 5 Fe 4.38+-0.07 [10^6/s]; Table IV p.2219 row 6 Fe 4.40+-0.05 [10^6/s]; Table IV p.2219 row 7 Fe 4.411+-0.024 [10^6/s],0,
