table,printed_page,page_row_ordinal,Z,z_from,target_label,label_from,target_basis,basis_rule,mean_life_ns,mean_life_unc_ns,rate,rate_unc,rate_unc_plus,rate_unc_minus,rate_exp10,rate_unit,rate_parenthesized,huff_factor,huff_from,refs,own_measurement,copy_read
IV,2218,6,10,Table IV p.2218 row 3,Ne,Table IV p.2218 row 3,unspecified,bare-symbol,1450,10,0.235,0.005,,,0,10^6/s,false,0.997,Table IV p.2218 row 3,7,false,published-scan
IV,2218,7,11,printed,Na,Table IV p.2218 row 7,unspecified,bare-symbol,1190,20,0.387,0.015,,,0,10^6/s,false,0.996,printed,40,false,published-scan
IV,2218,8,11,Table IV p.2218 row 7,Na,Table IV p.2218 row 7,unspecified,bare-symbol,1204.0,2.0,0.3772,0.0014,,,0,10^6/s,false,0.996,Table IV p.2218 row 7,a,true,published-scan
IV,2218,9,12,printed,Mg,Table IV p.2218 row 9,unspecified,bare-symbol,1040,20,0.507,0.020,,,0,10^6/s,false,0.995,printed,40,false,published-scan
IV,2218,10,12,Table IV p.2218 row 9,Mg,Table IV p.2218 row 9,unspecified,bare-symbol,1071,2,0.480,0.002,,,0,10^6/s,false,0.995,Table IV p.2218 row 9,42,false,published-scan
IV,2218,11,12,Table IV p.2218 row 9,Mg,Table IV p.2218 row 9,unspecified,bare-symbol,1021,25,0.52,0.02,,,0,10^6/s,false,0.995,Table IV p.2218 row 9,49,false,published-scan
IV,2218,12,12,Table IV p.2218 row 9,Mg,Table IV p.2218 row 9,unspecified,bare-symbol,1067.2,2.0,0.4841,0.0018,,,0,10^6/s,false,0.995,Table IV p.2218 row 9,a,true,published-scan
IV,2218,13,13,printed,Al,Table IV p.2218 row 13,unspecified,bare-symbol,880,10,0.691,0.020,,,0,10^6/s,false,0.993,printed,40,false,published-scan
IV,2218,14,13,Table IV p.2218 row 13,Al,Table IV p.2218 row 13,unspecified,bare-symbol,864,2,0.662,0.003,,,0,10^6/s,false,0.993,Table IV p.2218 row 13,42,false,published-scan
IV,2218,15,13,Table IV p.2218 row 13,Al,Table IV p.2218 row 13,unspecified,bare-symbol,905,12,0.650,0.015,,,0,10^6/s,false,0.993,Table IV p.2218 row 13,45,false,published-scan
IV,2218,16,13,Table IV p.2218 row 13,Al,Table IV p.2218 row 13,unspecified,bare-symbol,864.0,1.0,0.7054,0.0013,,,0,10^6/s,false,0.993,Table IV p.2218 row 13,a,true,published-scan
IV,2218,17,14,printed,Si,Table IV p.2218 row 17,unspecified,bare-symbol,810,10,0.777,0.025,,,0,10^6/s,false,0.992,printed,40,false,published-scan
IV,2218,18,14,Table IV p.2218 row 17,Si,Table IV p.2218 row 17,unspecified,bare-symbol,767,2,0.850,0.003,,,0,10^6/s,false,0.992,Table IV p.2218 row 17,42,false,published-scan
IV,2218,19,14,Table IV p.2218 row 17,Si,Table IV p.2218 row 17,unspecified,bare-symbol,758,20,0.86,0.04,,,0,10^6/s,false,0.992,Table IV p.2218 row 17,49,false,published-scan
IV,2218,20,14,Table IV p.2218 row 17,Si,Table IV p.2218 row 17,unspecified,bare-symbol,756.0,1.0,0.8712,0.0018,,,0,10^6/s,false,0.992,Table IV p.2218 row 17,a,true,published-scan
IV,2218,21,15,printed,P,Table IV p.2218 row 21,unspecified,bare-symbol,660,20,1.05,0.05,,,0,10^6/s,false,0.991,printed,40,false,published-scan
IV,2218,22,15,Table IV p.2218 row 21,P,Table IV p.2218 row 21,unspecified,bare-symbol,635,2,1.121,0.005,,,0,10^6/s,false,0.991,Table IV p.2218 row 21,42,false,published-scan
IV,2218,23,15,Table IV p.2218 row 21,P,Table IV p.2218 row 21,unspecified,bare-symbol,611.2,1.0,1.185,0.003,,,0,10^6/s,false,0.991,Table IV p.2218 row 21,a,true,published-scan
IV,2218,24,16,printed,S,Table IV p.2218 row 24,unspecified,bare-symbol,540,20,1.39,0.09,,,0,10^6/s,false,0.990,printed,40,false,published-scan
IV,2218,25,16,Table IV p.2218 row 24,S,Table IV p.2218 row 24,unspecified,bare-symbol,567.4,8.4,1.31,0.03,,,0,10^6/s,false,0.990,Table IV p.2218 row 24,49,false,published-scan
IV,2218,26,16,Table IV p.2218 row 24,S,Table IV p.2218 row 24,unspecified,bare-symbol,559,3,1.34,0.01,,,0,10^6/s,false,0.990,Table IV p.2218 row 24,27,false,published-scan
IV,2218,27,16,Table IV p.2218 row 24,S,Table IV p.2218 row 24,unspecified,bare-symbol,554.7,1.0,1.352,0.003,,,0,10^6/s,false,0.990,Table IV p.2218 row 24,a,true,published-scan
IV,2218,28,17,printed,Cl,Table IV p.2218 row 28,unspecified,bare-symbol,540,20,1.39,0.09,,,0,10^6/s,false,0.989,printed,40,false,published-scan
IV,2218,29,17,Table IV p.2218 row 28,Cl,Table IV p.2218 row 28,unspecified,bare-symbol,560.8,2.0,1.333,0.006,,,0,10^6/s,false,0.989,Table IV p.2218 row 28,a,true,published-scan
IV,2218,30,17,Table IV p.2218 row 28,35Cl,Table IV p.2218 row 30,isotope,integer-mass-prefix,444,10,1.80,0.05,,,0,10^6/s,false,,,76,false,published-scan
IV,2218,31,17,Table IV p.2218 row 28,37Cl,Table IV p.2218 row 31,isotope,integer-mass-prefix,587,17,1.25,0.05,,,0,10^6/s,false,,,76,false,published-scan
IV,2218,32,17,Table IV p.2218 row 28,natCl,Table IV p.2218 row 32,natural,nat-prefix,479,17,1.64,0.08,,,0,10^6/s,false,,,76,false,published-scan
IV,2218,33,18,printed,Ar,Table IV p.2218 row 33,unspecified,bare-symbol,,,1.20,0.08,,,0,10^6/s,false,,,48,false,published-scan
IV,2218,34,18,Table IV p.2218 row 33,Ar,Table IV p.2218 row 33,unspecified,bare-symbol,537,32,1.41,0.11,,,0,10^6/s,false,0.988,printed,59,false,published-scan
IV,2218,35,19,printed,K,Table IV p.2218 row 35,unspecified,bare-symbol,410,20,1.99,0.12,,,0,10^6/s,false,0.987,printed,40,false,published-scan
IV,2218,36,19,Table IV p.2218 row 35,K,Table IV p.2218 row 35,unspecified,bare-symbol,435.0,1.0,1.849,0.005,,,0,10^6/s,false,0.987,Table IV p.2218 row 35,a,true,published-scan
IV,2218,37,20,printed,Ca,Table IV p.2218 row 37,unspecified,bare-symbol,333,7,2.55,0.05,,,0,10^6/s,false,0.985,printed,40,false,published-scan
IV,2218,38,20,Table IV p.2218 row 37,Ca,Table IV p.2218 row 37,unspecified,bare-symbol,345,3,2.444,0.023,,,0,10^6/s,false,0.985,Table IV p.2218 row 37,50,false,published-scan
IV,2218,39,20,Table IV p.2218 row 37,Ca,Table IV p.2218 row 37,unspecified,bare-symbol,335.9,0.9,2.529,0.008,,,0,10^6/s,false,0.985,Table IV p.2218 row 37,51,false,published-scan
IV,2218,40,20,Table IV p.2218 row 37,Ca,Table IV p.2218 row 37,unspecified,bare-symbol,365,8,2.29,0.05,,,0,10^6/s,false,0.985,Table IV p.2218 row 37,52,false,published-scan
IV,2218,41,20,Table IV p.2218 row 37,Ca,Table IV p.2218 row 37,unspecified,bare-symbol,332.7,1.5,2.557,0.014,,,0,10^6/s,false,0.985,Table IV p.2218 row 37,a,true,published-scan
IV,2218,42,20,Table IV p.2218 row 37,43.8Ca,Table IV p.2218 row 42,enriched_mixture,noninteger-mass-prefix,445,8,1.793,0.040,,,0,10^6/s,false,,,50,false,published-scan
IV,2218,43,21,printed,Sc,Table IV p.2218 row 43,unspecified,bare-symbol,316.6,2.5,2.711,0.025,,,0,10^6/s,false,0.983,printed,a,true,published-scan
IV,2218,44,22,printed,Ti,Table IV p.2218 row 44,unspecified,bare-symbol,330,7,2.63,0.06,,,0,10^6/s,false,0.981,printed,40,false,published-scan
IV,2218,45,22,Table IV p.2218 row 44,Ti,Table IV p.2218 row 44,unspecified,bare-symbol,327.3,4.5,2.60,0.04,,,0,10^6/s,false,0.981,Table IV p.2218 row 44,49,false,published-scan
IV,2218,46,22,Table IV p.2218 row 44,Ti,Table IV p.2218 row 44,unspecified,bare-symbol,329.3,1.3,2.590,0.012,,,0,10^6/s,false,0.981,Table IV p.2218 row 44,a,true,published-scan
IV,2218,47,23,printed,V,Table IV p.2218 row 47,unspecified,bare-symbol,264,4,3.37,0.06,,,0,10^6/s,false,0.980,printed,40,false,published-scan
IV,2218,48,23,Table IV p.2218 row 47,V,Table IV p.2218 row 47,unspecified,bare-symbol,271,5,3.24,0.07,,,0,10^6/s,false,0.980,Table IV p.2218 row 47,43,false,published-scan
IV,2218,49,23,Table IV p.2218 row 47,V,Table IV p.2218 row 47,unspecified,bare-symbol,282.6,3.2,3.09,0.05,,,0,10^6/s,false,0.980,Table IV p.2218 row 47,49,false,published-scan
IV,2218,50,23,Table IV p.2218 row 47,V,Table IV p.2218 row 47,unspecified,bare-symbol,284.5,2.0,3.069,0.025,,,0,10^6/s,false,0.980,Table IV p.2218 row 47,a,true,published-scan
IV,2218,51,24,printed,Cr,Table IV p.2218 row 51,unspecified,bare-symbol,276,6,3.24,0.08,,,0,10^6/s,false,0.978,printed,40,false,published-scan
IV,2218,52,24,Table IV p.2218 row 51,Cr,Table IV p.2218 row 51,unspecified,bare-symbol,264.5,3.2,3.33,0.06,,,0,10^6/s,false,0.978,Table IV p.2218 row 51,49,false,published-scan
