table,printed_page,page_row_ordinal,row_kind,z_raw,zeff_raw,zeff_underlined,element_raw,mean_life_raw,rate_raw,huff_raw,refs_raw,note,copy_read
III,2217,55,note,,,,,,,,,(these F data show the lifetime for the lower hf state; see Sec. IV D).,published-scan
III,2217,56,footnote,,,,,,,,,^aDenotes the results of this experiment.,published-scan
III,2217,57,footnote,,,,,,,,,^bFor hydrogen the capture rate depends on mesomolecular effects (Ref. 25). Thus we have given the most recent articles only.,published-scan
IV,2218,1,caption,,,,,,,,,"TABLE IV. Compendium of total muon capture results for medium and heavy nuclei. (Z_eff is taken from Ref. 77. When it is underlined, it is an estimate. Entries in parentheses in column 4 are not given in the original reference.)",published-scan
IV,2218,2,header,Z,Z_eff,,Element,Mean life (ns),Total capture rate (10^6/s),Huff factor,Refs.,,published-scan
IV,2218,3,data,10,9.14,true,Ne,1520+-23,0.204+-0.010,0.997,46,,published-scan
IV,2218,4,data,,,false,,,0.167+-0.030,,47,,published-scan
IV,2218,5,data,,,false,,,0.30+-0.02,,48,,published-scan
IV,2218,6,data,,,false,,1450+-10,0.235+-0.005,,7,,published-scan
IV,2218,7,data,11,9.95,false,Na,1190+-20,0.387+-0.015,0.996,40,,published-scan
IV,2218,8,data,,,false,,1204.0+-2.0,0.3772+-0.0014,,a,,published-scan
IV,2218,9,data,12,10.69,false,Mg,1040+-20,0.507+-0.020,0.995,40,,published-scan
IV,2218,10,data,,,false,,1071+-2,0.480+-0.002,,42,,published-scan
IV,2218,11,data,,,false,,1021+-25,0.52+-0.02,,49,,published-scan
IV,2218,12,data,,,false,,1067.2+-2.0,0.4841+-0.0018,,a,,published-scan
IV,2218,13,data,13,11.48,false,Al,880+-10,0.691+-0.020,0.993,40,,published-scan
IV,2218,14,data,,,false,,864+-2,0.662+-0.003,,42,,published-scan
IV,2218,15,data,,,false,,905+-12,0.650+-0.015,,45,,published-scan
IV,2218,16,data,,,false,,864.0+-1.0,0.7054+-0.0013,,a,,published-scan
IV,2218,17,data,14,12.22,false,Si,810+-10,0.777+-0.025,0.992,40,,published-scan
IV,2218,18,data,,,false,,767+-2,0.850+-0.003,,42,,published-scan
IV,2218,19,data,,,false,,758+-20,0.86+-0.04,,49,,published-scan
IV,2218,20,data,,,false,,756.0+-1.0,0.8712+-0.0018,,a,,published-scan
IV,2218,21,data,15,12.90,false,P,660+-20,1.05+-0.05,0.991,40,,published-scan
IV,2218,22,data,,,false,,635+-2,1.121+-0.005,,42,,published-scan
IV,2218,23,data,,,false,,611.2+-1.0,1.185+-0.003,,a,,published-scan
IV,2218,24,data,16,13.64,false,S,540+-20,1.39+-0.09,0.990,40,,published-scan
IV,2218,25,data,,,false,,567.4+-8.4,1.31+-0.03,,49,,published-scan
IV,2218,26,data,,,false,,559+-3,1.34+-0.01,,27,,published-scan
IV,2218,27,data,,,false,,554.7+-1.0,1.352+-0.003,,a,,published-scan
IV,2218,28,data,17,14.24,false,Cl,540+-20,1.39+-0.09,0.989,40,,published-scan
IV,2218,29,data,,,false,,560.8+-2.0,1.333+-0.006,,a,,published-scan
IV,2218,30,data,,,false,35Cl,444+-10,1.80+-0.05,,76,mark: stray dot printed in the gap between the mean-life and capture-rate columns; not part of any cell,published-scan
IV,2218,31,data,,,false,37Cl,587+-17,1.25+-0.05,,76,,published-scan
IV,2218,32,data,,,false,natCl,479+-17,1.64+-0.08,,76,,published-scan
IV,2218,33,data,18,14.89,true,Ar,,1.20+-0.08,,48,,published-scan
IV,2218,34,data,,,false,,537+-32,1.41+-0.11,0.988,59,,published-scan
IV,2218,35,data,19,15.53,false,K,410+-20,1.99+-0.12,0.987,40,,published-scan
IV,2218,36,data,,,false,,435.0+-1.0,1.849+-0.005,,a,,published-scan
IV,2218,37,data,20,16.15,false,Ca,333+-7,2.55+-0.05,0.985,40,,published-scan
IV,2218,38,data,,,false,,345+-3,2.444+-0.023,,50,,published-scan
IV,2218,39,data,,,false,,335.9+-0.9,2.529+-0.008,,51,,published-scan
IV,2218,40,data,,,false,,365+-8,2.29+-0.05,,52,,published-scan
IV,2218,41,data,,,false,,332.7+-1.5,2.557+-0.014,,a,,published-scan
IV,2218,42,data,,,false,43.8Ca,445+-8,1.793+-0.040,,50,,published-scan
IV,2218,43,data,21,16.77,true,Sc,316.6+-2.5,2.711+-0.025,0.983,a,,published-scan
IV,2218,44,data,22,17.38,false,Ti,330+-7,2.63+-0.06,0.981,40,,published-scan
IV,2218,45,data,,,false,,327.3+-4.5,2.60+-0.04,,49,,published-scan
IV,2218,46,data,,,false,,329.3+-1.3,2.590+-0.012,,a,,published-scan
IV,2218,47,data,23,18.04,false,V,264+-4,3.37+-0.06,0.980,40,,published-scan
IV,2218,48,data,,,false,,271+-5,3.24+-0.07,,43,,published-scan
IV,2218,49,data,,,false,,282.6+-3.2,3.09+-0.05,,49,,published-scan
IV,2218,50,data,,,false,,284.5+-2.0,3.069+-0.025,,a,,published-scan
IV,2218,51,data,24,18.49,false,Cr,276+-6,3.24+-0.08,0.978,40,,published-scan
IV,2218,52,data,,,false,,264.5+-3.2,3.33+-0.06,,49,,published-scan
IV,2218,53,data,,,false,,255.3+-2.0,3.472+-0.031,,a,,published-scan
IV,2218,54,data,,,false,50Cr,233.7+-2.7,3.825+-0.050,,73,,published-scan
IV,2218,55,data,,,false,52Cr,256.0+-3.0,3.452+-0.047,,73,,published-scan
IV,2218,56,data,,,false,53Cr,266.6+-3.2,3.297+-0.045,,73,,published-scan
IV,2218,57,data,,,false,54Cr,284.8+-3.3,3.057+-0.042,,73,,published-scan
IV,2218,58,data,,,false,natCr,256.7+-3.0,3.444+-0.047,,73,,published-scan
IV,2218,59,data,25,19.06,false,Mn,239+-4,3.67+-0.08,0.976,40,,published-scan
IV,2218,60,data,,,false,,225.5+-2.3,3.98+-0.05,,49,,published-scan
IV,2219,1,caption,,,,,,,,,TABLE IV. (Continued).,published-scan
IV,2219,2,header,Z,Z_eff,,Element,Mean life (ns),Total capture rate (10^6/s),Huff factor,Refs.,,published-scan
IV,2219,3,data,,,false,Mn (con't),232.5+-2.0,3.857+-0.037,,a,,published-scan
IV,2219,4,data,26,19.59,false,Fe,201+-4,4.53+-0.10,0.975,40,,published-scan
IV,2219,5,data,,,false,,207+-3,4.38+-0.07,,43,,published-scan
IV,2219,6,data,,,false,,206.7+-2.4,4.40+-0.05,,49,,published-scan
IV,2219,7,data,,,false,,206.0+-1.0,4.411+-0.024,,a,,published-scan
IV,2219,8,data,27,20.13,true,Co,188+-3,4.89+-0.09,0.971,43,,published-scan
IV,2219,9,data,,,false,,184.0+-1.7,4.96+-0.05,,49,,published-scan
IV,2219,10,data,,,false,,185.8+-1.0,4.940+-0.029,,a,,published-scan
IV,2219,11,data,28,20.66,false,Ni,154+-3,6.03+-0.14,0.969,40,,published-scan
IV,2219,12,data,,,false,,158+-3,5.89+-0.12,,43,,published-scan
IV,2219,13,data,,,false,,159.4+-3.1,5.83+-0.13,,49,,published-scan
IV,2219,14,data,,,false,,156.9+-1.0,5.932+-0.041,,a,,published-scan
IV,2219,15,data,,,false,58Ni,152.3+-2.4,6.11+-0.10,,73,,published-scan
IV,2219,16,data,,,false,60Ni,166.2+-2.6,5.56+-0.10,,73,,published-scan
IV,2219,17,data,,,false,62Ni,193.4+-3.5,4.72+-0.10,,73,,published-scan
IV,2219,18,data,,,false,natNi,158.4+-2.5,5.88+-0.10,,73,,published-scan
IV,2219,19,data,29,21.12,false,Cu,160+-4,5.79+-0.16,0.967,40,,published-scan
IV,2219,20,data,,,false,,169+-6,5.47+-0.20,,45,,published-scan
IV,2219,21,data,,,false,,164.0+-2.3,5.66+-0.09,,54,,published-scan
IV,2219,22,data,,,false,,163.5+-2.4,5.67+-0.09,,49,,published-scan
IV,2219,23,data,,,false,,163.5+-1.0,5.676+-0.037,,a,,published-scan
IV,2219,24,data,,,false,63Cu,162.1+-1.4,5.72+-0.05,,49,,published-scan
IV,2219,25,data,30,21.61,false,Zn,161+-4,5.76+-0.17,0.965,40,,published-scan
IV,2219,26,data,,,false,,169+-4,5.5+-0.1,,43,,published-scan
IV,2219,27,data,,,false,,161.2+-1.1,5.76+-0.05,,49,,published-scan
IV,2219,28,data,,,false,,159.4+-1.0,5.834+-0.039,,a,,published-scan
IV,2219,29,data,31,22.02,true,Ga,163.0+-1.6,5.70+-0.06,0.962,49,,published-scan
IV,2219,30,data,32,22.43,true,Ge,167.4+-1.8,5.54+-0.06,0.960,49,,published-scan
IV,2219,31,data,,,false,,166.5+-1.0,5.569+-0.036,,a,,published-scan
IV,2219,32,data,33,22.84,true,As,153.8+-1.7,6.07+-0.07,0.958,49,,published-scan
IV,2219,33,data,,,false,,153.9+-2.4,6.06+-0.12,,54,,published-scan
IV,2219,34,data,,,false,,152.9+-1.0,6.104+-0.043,,a,,published-scan
IV,2219,35,data,34,23.24,true,Se,163.0+-1.2,5.70+-0.05,0.955,49,,published-scan
IV,2219,36,data,,,false,,163.5+-1.0,5.681+-0.037,,a,,published-scan
IV,2219,37,data,35,23.65,true,79Br,133.7+-6.5,7.05+-0.35,0.952,55,,published-scan
IV,2219,38,data,,,false,81Br,125.3+-7.9,7.55+-0.48,,55,,published-scan
IV,2219,39,data,,,false,Br,133.3+-1.0,7.07+-0.06,,a,,published-scan
IV,2219,40,data,37,24.47,false,Rb,136.5+-2.7,6.89+-0.14,0.948,49,,published-scan
IV,2219,41,data,38,24.85,true,Sr,130.1+-2.3,7.25+-0.14,0.945,49,,published-scan
IV,2219,42,data,,,false,,134.1+-2.5,7.02+-0.14,,a,,published-scan
IV,2219,43,data,,,false,88Sr,142.0+-5.5,6.61+-0.27,,49,,published-scan
IV,2219,44,data,39,25.23,true,Y,120.2+-1.4,7.89+-0.11,0.942,54,,published-scan
IV,2219,45,data,40,25.61,true,Zr,110.8+-0.8,8.59+-0.07,0.940,49,,published-scan
IV,2219,46,data,,,false,,110.0+-1.0,8.66+-0.08,,a,,published-scan
IV,2219,47,data,41,25.99,true,Nb,92.3+-1.1,10.40+-0.14,0.939,54,,published-scan
IV,2219,48,data,,,false,,92.7+-1.5,10.36+-0.17,,a,,published-scan
IV,2219,49,data,42,26.37,false,Mo,105+-2,9.09+-0.18,0.936,40,,published-scan
IV,2219,50,data,,,false,,103.5+-0.7,9.23+-0.07,,49,,published-scan
IV,2219,51,data,,,false,,99.6+-1.5,9.614+-0.15,,a,,published-scan
IV,2219,52,data,45,27.32,true,Rh,95.8+-0.6,10.01+-0.07,0.929,49,,published-scan
IV,2219,53,data,46,27.63,true,Pd,96.0+-0.6,10.00+-0.07,0.927,49,,published-scan
IV,2219,54,data,47,27.95,false,Ag,85+-3,11.25+-0.50,0.925,40,,published-scan
IV,2219,55,data,,,false,,88.7+-0.9,10.86+-0.13,,54,,published-scan
IV,2219,56,data,,,false,,88.6+-1.1,10.88+-0.14,,49,,published-scan
IV,2219,57,data,,,false,,91.6+-2.2,10.5+-0.3,,76,,published-scan
IV,2219,58,data,,,false,,87.0+-1.5,11.07+-0.20,,a,,published-scan
IV,2219,59,data,48,28.20,false,Cd,95+-5,10.1+-0.5,0.921,40,,published-scan
IV,2219,60,data,,,false,,90.5+-0.8,10.63+-0.11,,54,,published-scan
IV,2220,1,caption,,,,,,,,,TABLE IV. (Continued).,published-scan
IV,2220,2,header,Z,Z_eff,,Element,Mean life (ns),Total capture rate (10^6/s),Huff factor,Refs.,,published-scan
IV,2220,3,data,,,false,Cd (con't),90.7+-1.5,10.61+-0.18,,a,,published-scan
IV,2220,4,data,49,28.42,true,In,84.8+-0.8,11.37+-0.13,0.920,54,,published-scan
IV,2220,5,data,,,false,,84.6+-1.5,11.40+-0.21,,a,,published-scan
IV,2220,6,data,50,28.64,false,Sn,92+-3,10.5+-0.4,0.918,43,,published-scan
IV,2220,7,data,,,false,,89.9+-1.0,10.70+-0.14,,54,,published-scan
IV,2220,8,data,,,false,,92.1+-1.5,10.44+-0.18,,a,,published-scan
IV,2220,9,data,51,28.79,false,Sb,91.7+-1.1,10.49+-0.14,0.916,54,,published-scan
IV,2220,10,data,,,false,,94.1+-1.7,10.21+-0.20,,a,,published-scan
IV,2220,11,data,52,29.03,true,Te,105.5+-1.2,9.06+-0.11,0.913,49,,published-scan
IV,2220,12,data,,,false,,103.2+-1.0,9.27+-0.10,,a,,published-scan
IV,2220,13,data,53,29.27,true,I,86.1+-0.7,11.20+-0.11,0.910,54,,published-scan
IV,2220,14,data,,,false,,83.4+-1.5,11.58+-0.22,,a,,published-scan
IV,2220,15,data,55,29.75,false,Cs,87.8+-1.9,10.98+-0.25,0.905,54,,published-scan
IV,2220,16,data,56,29.99,false,Ba,94.5+-0.7,10.18+-0.10,0.902,54,,published-scan
IV,2220,17,data,,,false,,96.6+-1.5,9.94+-0.16,,a,,published-scan
IV,2220,18,data,57,30.22,false,La,89.9+-0.7,10.71+-0.10,0.901,54,,published-scan
IV,2220,19,data,58,30.36,true,Ce,84.4+-0.7,11.44+-0.11,0.899,54,,published-scan
IV,2220,20,data,,,false,,83.3+-1.0,11.60+-0.14,,a,,published-scan
IV,2220,21,data,59,30.53,true,Pr,72.1+-0.6,13.45+-0.13,0.897,54,,published-scan
IV,2220,22,data,60,30.69,true,Nd,78.5+-0.8,12.32+-0.14,0.895,54,,published-scan
IV,2220,23,data,,,false,,77.5+-2.0,12.50+-0.33,,a,,published-scan
IV,2220,24,data,62,31.01,true,Sm,79.2+-1.0,12.22+-0.17,0.890,54,,published-scan
IV,2220,25,data,64,31.34,false,Gd,80.1+-1.0,12.09+-0.16,0.885,54,,published-scan
IV,2220,26,data,,,false,,81.8+-1.5,11.82+-0.22,,a,,published-scan
IV,2220,27,data,65,31.48,true,Th,76.2+-0.7,12.73+-0.13,0.882,54,,published-scan
IV,2220,28,data,66,31.62,false,Dy,78.8+-1.1,12.29+-0.18,0.880,a,,published-scan
IV,2220,29,data,67,31.76,true,Ho,74.9+-0.6,12.95+-0.13,0.877,54,,published-scan
IV,2220,30,data,68,31.90,true,Er,74.4+-1.5,13.04+-0.27,0.875,a,,published-scan
IV,2220,31,data,72,32.47,true,Hf,74.5+-1.3,13.03+-0.21,0.865,49,,published-scan
IV,2220,32,data,73,32.61,false,Ta,75.5+-0.6,12.86+-0.13,0.862,54,,published-scan
IV,2220,33,data,74,32.76,false,W,81+-2,11.92+-0.30,0.860,40,,published-scan
IV,2220,34,data,,,false,,72+-3,13.5+-0.6,,43,,published-scan
IV,2220,35,data,,,false,,74.3+-1.2,13.07+-0.21,,49,,published-scan
IV,2220,36,data,,,false,,78.4+-1.5,12.36+-0.24,,a,,published-scan
IV,2220,37,data,79,33.64,true,Au,72.6+-0.5,13.39+-0.11,0.850,54,,published-scan
IV,2220,38,data,,,false,,74.3+-1.5,13.07+-0.28,,a,,published-scan
IV,2220,39,data,80,33.81,false,Hg,76.2+-1.5,12.74+-0.26,0.848,49,,published-scan
IV,2220,40,data,,,false,,76.2+-1.5,12.74+-0.26,,a,,published-scan
IV,2220,41,data,81,34.21,false,Tl,75+-4,12.90+-0.75,0.846,40,,published-scan
IV,2220,42,data,,,false,,70.3+-0.9,13.83+-0.20,,54,,published-scan
IV,2220,43,data,,,false,,70.0+-1.5,13.90+-0.31,,a,,published-scan
IV,2220,44,data,82,34.18,false,Pb,82+-5,11.70+-0.75,0.844,40,,published-scan
IV,2220,45,data,,,false,,67+-3,14.5+-0.7,,43,,published-scan
IV,2220,46,data,,,false,,74.9+-0.4,12.98+-0.10,,54,,published-scan
IV,2220,47,data,,,false,,73.2+-1.2,13.27+-0.22,,49,,published-scan
IV,2220,48,data,,,false,,75.4+-1.0,13.45+-0.18,,a,,published-scan
IV,2220,49,data,,,false,RPb^b,71.5+-0.4,13.61+-0.10,,54,,published-scan
IV,2220,50,data,83,34.00,false,Bi,79+-5,12.20+-0.75,0.840,40,,published-scan
IV,2220,51,data,,,false,,73.3+-0.4,13.26+-0.07,,54,,published-scan
IV,2220,52,data,,,false,,74.2+-1.0,13.10+-0.18,,a,,published-scan
IV,2220,53,data,90,34.73,false,232Th^c,80.4+-2.0,,0.824,56e,,published-scan
IV,2220,54,data,,,false,,79.2+-2.0,,,57e,,published-scan
IV,2220,55,data,,,false,,80.1+-0.6,,,66n,,published-scan
IV,2220,56,data,,,false,,74.2+-5.6,(13.1+-0.9),,61f,,published-scan
IV,2220,57,data,,,false,,87+-4,(11.1+-0.6),,63f,,published-scan
IV,2220,58,data,,,false,,77.3+-0.3,(12.56+-0.05),,67f,,published-scan
IV,2220,59,data,,,false,,84.0+-4.5,(11.5+-0.6),,68f,,published-scan
IV,2220,60,data,,,false,,78.5+-2.0,(12.4+-0.3),,71f,,published-scan
IV,2221,1,caption,,,,,,,,,TABLE IV. (Continued).,published-scan
IV,2221,2,header,Z,Z_eff,,Element,Mean life (ns),Total capture rate (10^6/s),Huff factor,Refs.,,published-scan
IV,2221,3,data,92,34.94,false,233U^c,61.7+-3.8,(15.8+-0.9),0.820,62f,,published-scan
IV,2221,4,data,,,false,,68.5+-0.7,(14.23+-0.15),,71f,,published-scan
IV,2221,5,data,,,false,235U^c,78+-4,,,56e,,published-scan
IV,2221,6,data,,,false,,75.4+-1.9,,,57e,,published-scan
IV,2221,7,data,,,false,,75.0+-0.7,,,66n,,published-scan
IV,2221,8,data,,,false,,71+-2,(13.7+-0.4),,74Kgamma,,published-scan
IV,2221,9,data,,,false,,65.3+-2.8,(14.9+-0.6),,62f,,published-scan
IV,2221,10,data,,,false,,66.5+-4.2,(14.7+-1.0),,61f,,published-scan
IV,2221,11,data,,,false,,75.6+-2.3,(12.9+-0.4),,63f,,published-scan
IV,2221,12,data,,,false,,72.9+-0.9,(13.3+-0.2),,58f,,published-scan
IV,2221,13,data,,,false,,72.8+-0.6,(13.36+-0.12),,71f,,published-scan
IV,2221,14,data,,,false,,71.6+-0.6,(13.58+-0.12),,26f,,published-scan
IV,2221,15,data,,,false,236U^c,70+-2,(13.9+-0.4),,74Kgamma,,published-scan
IV,2221,16,data,,,false,238U^c,88+-4,,,40e,,published-scan
IV,2221,17,data,,,false,,81.5+-2.0,,,56e,,published-scan
IV,2221,18,data,,,false,,73.5+-2.0,,,57e,,published-scan
IV,2221,19,data,,,false,,84.6+-1.5,,,"a,e",,published-scan
IV,2221,20,data,,,false,,78.3+-1.0,,,66n,,published-scan
IV,2221,21,data,,,false,,78.6+-1.5,,,69gamma,,published-scan
IV,2221,22,data,,,false,,79.1+-0.5,,,70gamma,,published-scan
IV,2221,23,data,,,false,,78+-2,(12.4+-0.4),,74Kgamma,,published-scan
IV,2221,24,data,,,false,,74.1+-2.8,(13.1+-0.5),,62f,,published-scan
IV,2221,25,data,,,false,,75.6+-2.9,(12.9+-0.5),,61f,,published-scan
IV,2221,26,data,,,false,,76.0+-1.0,(12.8+-0.2),,63f,,published-scan
IV,2221,27,data,,,false,,77.1+-0.2,(12.60+-0.04),,67f,,published-scan
IV,2221,28,data,,,false,,77.9+-0.5,(12.46+-0.09),,58f,,published-scan
IV,2221,29,data,,,false,,77.7+-0.6,(12.50+-0.10),,71f,,published-scan
IV,2221,30,data,,,false,,78.0+-2.0,(12.4+-0.4),,72f,,published-scan
IV,2221,31,data,,,false,,77.2+-0.4,12.57+-0.07,,26f,,published-scan
IV,2221,32,data,93,35.05,false,237Np^c,73.5+-1.4,,0.818,66n,,published-scan
IV,2221,33,data,,,false,,71.3+-0.9,(13.6+-0.2),,58f,,published-scan
IV,2221,34,data,,,false,,72+-2,(13.5+-0.4),,65f,,published-scan
IV,2221,35,data,94,35.16,false,239Pu^c,77.5+-2.0,,0.816,56e,,published-scan
IV,2221,36,data,,,false,,73.4+-2.8,,,57e,,published-scan
IV,2221,37,data,,,false,,74.5+-0.5,,,66n,,published-scan
IV,2221,38,data,,,false,,74+-14,(13.1+-2.6),,64f,,published-scan
IV,2221,39,data,,,false,,70+-3,(13.9+-0.9),,65f,,published-scan
IV,2221,40,data,,,false,,70.1+-0.7,(13.9+-0.2),,58f,,published-scan
IV,2221,41,data,,,false,,67+-8,(14.6+-2.0),,75f,,published-scan
IV,2221,42,data,,,false,242Pu^c,81.1+-0.7,,,66n,,published-scan
IV,2221,43,data,,,false,,75.4+-0.9,(12.9+-0.2),,58f,,published-scan
IV,2221,44,data,,,false,,79+-5,(12.3+-0.8),,65f,,published-scan
IV,2221,45,footnote,,,,,,,,,^aDenotes the results of this experiment.,published-scan
IV,2221,46,footnote,,,,,,,,,^bRPb denotes radiogenic lead (88% 206Pb:9% 207Pb:3% 208Pb).,published-scan
IV,2221,47,footnote,,,,,,,,,"^cFor these nuclides, prompt fission can complicate the measurement. The letters after the reference denote the type of particle detected, viz., e, electrons; n, neutrons; gamma, gammas, Kgamma, gammas in coincidence with K x rays; f, fission fragments, (f and Kgamma are probably the most reliable for determining the total capture rate. See Refs. 26 and 58 for details.)",published-scan
